"Estadillo","CoorX","CoorY","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
412,346899,4710829,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
418,356864,4724825,3403,"SALDAÑA-VALDAVIA","Tabanera de Valdavia",34179,"","","Trasotero y Rabanillo","Ayto. de Tabanera de Valdavia","No","No"
424,371876,4724791,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
431,370880,4723808,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
436,355869,4722843,3403,"SALDAÑA-VALDAVIA","Pino del Río",34129,"","","Vallejas Traidoras (Quiñon de Valcabadillo)","E.L.M. de Valcabadillo","No","No"
439,364896,4722817,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
452,360862,4720787,3403,"SALDAÑA-VALDAVIA","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
453,366901,4720793,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
454,370877,4720814,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","El Cerrillo","E.L.M. de Polvorosa de Valdavia","Sí","Sí"
458,362936,4719770,3403,"SALDAÑA-VALDAVIA","Valderrábano",34190,"","","","","",""
461,371894,4719803,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Alto y Agregados","Ayto. de Buenavista de Valdavia","Sí","Sí"
465,353868,4718832,3403,"SALDAÑA-VALDAVIA","Pino del Río",34129,"","","Majada y Valle de las Fuentes","E.L.M. de Celadilla del Rio","Sí","Sí"
47,368892,4754814,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Palacios","Ayto. de Cervera de Pisuerga","No","No"
472,354883,4717798,3403,"SALDAÑA-VALDAVIA","Pino del Río",34129,"","","Valdepoza","Ayto. de Saldaña","Sí","Sí"
475,354882,4716797,3403,"SALDAÑA-VALDAVIA","Pino del Río",34129,"","","Valdepoza","Ayto. de Saldaña","Sí","Sí"
478,370892,4716793,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Montecillo, Páramo y Cuesta","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
479,371880,4716791,3403,"SALDAÑA-VALDAVIA","Buenavista de Valdavia",34037,"","","Montecillo, Páramo y Cuesta","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
486,371893,4714777,3403,"SALDAÑA-VALDAVIA","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
49,369907,4753795,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Palacios","Ayto. de Cervera de Pisuerga","No","No"
490,361938,4713829,3403,"SALDAÑA-VALDAVIA","Saldaña",34157,"","","","","",""
495,357928,4712810,3403,"SALDAÑA-VALDAVIA","Saldaña",34157,"","","Barrio","Ayto. de Saldaña","No","No"
499,365895,4711778,3403,"SALDAÑA-VALDAVIA","Saldaña",34157,"","","Cuestas de Prado y Paracuetos","E.L.M. de Valenoso","No","No"
504,347892,4709783,3403,"SALDAÑA-VALDAVIA","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
508,368879,4708799,3402,"CAMPOS","Loma de Ucieza",34903,"","","Morcorio","E.L.M. de Villota del Duque","Sí","Sí"
514,368910,4707768,3402,"CAMPOS","Loma de Ucieza",34903,"","","Morcorio","E.L.M. de Villota del Duque","Sí","Sí"
527,381904,4719769,3404,"BOEDO-OJEDA","Dehesa de Romanos",34068,"","","Fuente Ortuño","Ayto. de Dehesa de Romanos","No","No"
528,375897,4717807,3404,"BOEDO-OJEDA","Collazos de Boedo",34061,"","","Gallillo","E.L.M. de Collazos de Boedo","Sí","Sí"
530,375915,4716812,3403,"SALDAÑA-VALDAVIA","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
532,376914,4715806,3403,"SALDAÑA-VALDAVIA","Villameriel",34222,"","","Corral y Agregados","E.L.M. de San Martin del Monte","Sí","Sí"
534,375886,4714758,3403,"SALDAÑA-VALDAVIA","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
536,381923,4714793,3404,"BOEDO-OJEDA","Páramo de Boedo",34122,"","","Fuentepila","E.L.M. de Páramo de Boedo","Sí","Sí"
537,382949,4714815,3404,"BOEDO-OJEDA","Páramo de Boedo",34122,"","","Fuentepila","E.L.M. de Páramo de Boedo","Sí","Sí"
539,375907,4713789,3403,"SALDAÑA-VALDAVIA","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
54,357918,4751766,3405,"GUARDO","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Alambral","Ayto. de Velilla del Río Carrión","No","No"
542,380917,4713787,3403,"SALDAÑA-VALDAVIA","Villameriel",34222,"","","Corral y Agregados","E.L.M. de San Martin del Monte","Sí","Sí"
549,383915,4712820,3404,"BOEDO-OJEDA","Calahorra de Boedo",34041,"","","Mayor y Rebollo","Ayto. de Calahorra de Boedo","Sí","Sí"
553,376886,4710778,3403,"SALDAÑA-VALDAVIA","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
555,376889,4709803,3403,"SALDAÑA-VALDAVIA","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
557,375873,4708781,3403,"SALDAÑA-VALDAVIA","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
576,345836,4697773,3403,"SALDAÑA-VALDAVIA","Lagartos",34091,"","","Tordillos","E.L.M. de Terradillos de los Templarios","Sí","Sí"
578,346837,4696847,3403,"SALDAÑA-VALDAVIA","Lagartos",34091,"","","Tordillos","E.L.M. de Terradillos de los Templarios","Sí","Sí"
581,347913,4706774,3403,"SALDAÑA-VALDAVIA","Santervás de la Vega",34169,"","","Cuestas Grandes","E.L.M. de Santervas de la Vega","No","No"
599,347828,4694857,3403,"SALDAÑA-VALDAVIA","Ledigos",34094,"","","Carraco, Matalavilla y Roturos","Ayto. de Ledigos","No","No"
602,347874,4692812,3403,"SALDAÑA-VALDAVIA","Ledigos",34094,"","","Carraco, Matalavilla y Roturos","Ayto. de Ledigos","No","No"
623,383887,4701819,3402,"CAMPOS","Espinosa de Villagonzalo",34071,"","","Bayala","Ayto. de Espinosa de Villagonzalo","Sí","Sí"
627,383918,4700770,3402,"CAMPOS","Espinosa de Villagonzalo",34071,"","","Bayala","Ayto. de Espinosa de Villagonzalo","Sí","Sí"
66,365937,4749769,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Canavigel","Ayto. de Cervera de Pisuerga","No","No"
69,349879,4748713,3405,"GUARDO","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Campana del Horno, Campana Cortina y Campana la Llana","Ayto. de Velilla del Río Carrión","No","No"
72,357892,4748794,3405,"GUARDO","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Valderinas","Ayto. de Velilla del Río Carrión","No","No"
90,372951,4747849,3406,"CERVERA","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Celada y Montealegre","E.L.M. de Ventanilla","No","No"
94,358890,4746728,3405,"GUARDO","Velilla del Río Carrión",34199,"Montaña Palentina","Parque Natural","Cueto Palomo y Hornalejo","Ayto. de Velilla del Río Carrión","No","No"
