"ID","Estadillo","Especie","Fcc_IFN2","Hm_IFN2","Fcc_IFN3","Hm_IFN3","Fcc_IFN4","Hm_IFN4"
"246",234,3102,NA,NA,NA,NA,21,2
"247",234,4104,NA,NA,NA,NA,2,4
"248",236,102,35,5,60,1,NA,NA
"249",236,103,20,7,NA,NA,NA,NA
"250",236,104,NA,NA,7,6,NA,NA
"251",236,106,5,3,5,3,2,3
"252",236,1102,NA,NA,15,16,15,16
"253",236,3102,NA,NA,NA,NA,40,1
"254",236,4104,NA,NA,NA,NA,3,10
"255",236,5102,NA,NA,NA,NA,20,1
"256",241,102,40,7,25,1,NA,NA
"257",241,106,10,3,10,5,4,3
"258",241,117,20,4,10,2,2,3
"259",241,1102,NA,NA,NA,NA,11,18
"260",241,2102,NA,NA,30,10,17,10
"261",241,3102,NA,NA,NA,NA,18,2
"262",241,5102,NA,NA,NA,NA,8,2
"263",242,102,30,10,10,7,NA,NA
"264",242,104,5,3,NA,NA,NA,NA
"265",242,106,30,4,NA,NA,3,3
"266",242,107,5,1,2,1,NA,NA
"267",242,117,15,3,NA,NA,2,3
"268",242,136,NA,NA,2,3,1,2
"269",242,1102,NA,NA,NA,NA,3,11
"270",242,2102,NA,NA,NA,NA,4,7
"271",242,4104,NA,NA,NA,NA,4,3
"272",242,5102,NA,NA,NA,NA,6,2
"273",250,102,50,10,10,1,10,1
"274",250,104,10,4,NA,NA,NA,NA
"275",250,117,15,3,10,2,5,1
"276",250,136,NA,NA,5,4,5,3
"277",250,2102,NA,NA,60,10,55,10
"278",252,102,20,1,5,2,2,1
"279",252,106,15,1,40,3,30,2
"280",252,117,10,1,15,2,5,2
"281",252,8101,NA,NA,5,13,5,15
"282",255,102,20,2,NA,NA,NA,NA
"283",255,104,10,3,NA,NA,NA,NA
"284",255,106,5,2,1,5,NA,NA
"285",255,107,10,1,NA,NA,1,1
"286",255,117,5,2,NA,NA,2,3
"287",255,136,NA,NA,5,2,NA,NA
"288",255,182,NA,NA,NA,NA,3,2
"289",255,5102,NA,NA,15,3,15,2
"290",259,102,40,6,30,1,20,1
"291",259,104,10,3,NA,NA,NA,NA
"292",259,106,10,3,10,4,7,4
"293",259,117,5,2,NA,NA,2,2
"294",259,136,NA,NA,NA,NA,1,2
"295",259,2102,NA,NA,40,10,30,10
"296",260,102,10,1,NA,NA,NA,NA
"297",260,106,5,1,10,5,2,3
"298",260,107,10,1,NA,NA,4,2
"299",260,117,5,1,10,2,1,2
"300",260,136,NA,NA,15,2,NA,NA
"301",260,5102,NA,NA,30,2,9,2
"302",267,102,70,10,25,1,20,1
"303",267,104,10,3,NA,NA,NA,NA
"304",267,106,10,4,15,6,2,3
"305",267,107,5,1,NA,NA,NA,NA
"306",267,117,5,2,15,2,1,2
"307",267,119,NA,NA,1,5,2,4
"308",267,136,NA,NA,5,3,1,2
"309",267,2102,NA,NA,40,10,50,12
"310",277,102,15,3,30,2,NA,NA
"311",277,106,20,4,NA,NA,7,3
"312",277,107,20,1,NA,NA,NA,NA
"313",277,117,10,2,NA,NA,1,2
"314",277,121,NA,NA,NA,NA,1,3
"315",277,136,NA,NA,10,2,NA,NA
"316",277,166,NA,NA,10,3,NA,NA
"317",277,182,NA,NA,NA,NA,3,2
"318",277,5102,NA,NA,NA,NA,45,2
"319",280,102,30,6,20,1,30,4
"320",280,104,20,3,NA,NA,NA,NA
"321",280,106,5,2,NA,NA,1,3
"322",280,107,10,1,NA,NA,NA,NA
"323",280,117,5,2,NA,NA,6,3
"324",280,136,NA,NA,NA,NA,3,3
"325",280,2102,NA,NA,5,8,NA,NA
"326",281,102,30,10,25,1,30,1
"327",281,104,10,2,NA,NA,NA,NA
