"ID","Estadillo","Especie","PosEspIFN2","OcupaIFN2","EstadoIFN2","PosEspIFN3","OcupaIFN3","EstadoIFN3","EdadIFN3","OrgMasaIFN3","PosEspIFN4","OcupaIFN4","EstadoIFN4","EdadIFN4","OrgMasaIFN4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","CatRegIFN2","CatRegIFN3","CatRegIFN4"
"935",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,2,2
"936",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,2,4
"937",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,1,4
"938",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,2,1
"939",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,2,3
"940",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,1,3
"941",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,4,2
"942",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,4,1
"943",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,3,3
"944",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,1,1
"945",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,3,1
"946",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,1,2
"947",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,4,4
"948",454,"43",2,"0","4",1,90,4,0,1,1,100,4,0,1,12,12,13,3,4,3
"949",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,4,2
"950",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,1,4
"951",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,2,1
"952",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,4,4
"953",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,4,1
"954",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,2,2
"955",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,3,4
"956",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,2,4
"957",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,3,2
"958",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,1,1
"959",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,3,1
"960",458,"43",2,"0","2",1,90,2,0,1,1,90,3,0,1,2,9,24,3,1,2
"961",461,"21",1,"0","3",1,70,4,60,2,1,70,4,0,2,11,12,17,0,1,1
"962",461,"21",2,"9","3",1,70,4,60,2,1,70,4,0,2,11,12,17,0,1,1
"963",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,3,2
"964",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,1,2
"965",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,2,1
"966",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,3,1
"967",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,3,3
"968",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,4,3
"969",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,4,1
"970",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,4,4
"971",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,1,4
"972",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,2,4
"973",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,2,3
"974",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,4,2
"975",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,3,4
"976",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,2,2
"977",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,1,3
"978",461,"43",NA,NA,NA,2,30,2,0,1,2,30,2,0,1,NA,NA,1,3,1,1
"979",465,"21",1,"7","3",1,50,4,40,2,1,60,4,0,2,28,22,21,NA,1,1
"980",465,"21",2,"6","3",1,50,4,40,2,1,60,4,0,2,28,22,21,NA,1,1
"981",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,1,3
"982",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,3,2
"983",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,3,3
"984",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,3,1
"985",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,1,1
"986",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,4,2
"987",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,4,3
"988",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,4,1
"989",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,1,2
"990",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,2,3
"991",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,2,1
"992",465,"43",NA,NA,NA,2,40,4,0,1,2,40,4,0,1,6,4,7,3,2,2
"993",47,"21",1,"0","2",1,100,3,30,2,1,100,3,0,2,13,33,51,1,NA,NA
"994",47,"21",2,"0","2",1,100,3,30,2,1,100,3,0,2,13,33,51,1,NA,NA
"995",472,"21",1,"7","3",2,30,4,40,2,2,30,4,0,2,9,10,6,NA,NA,1
"996",472,"25",2,"5","3",1,40,3,40,2,1,40,4,0,2,16,12,14,1,NA,1
"997",472,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1
"998",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,1,4
"999",472,"43",NA,NA,NA,3,20,3,0,1,3,20,3,0,1,1,2,9,3,1,2
