"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Stem_NFI2","BranchesOver7cm_NFI2","Branches7to2cm_NFI2","BranchesUnder2cmLeaves_NFI2","Roots_NFI2","TotalC_NFI2","Stem_NFI3","BranchesOver7cm_NFI3","Branches7to2cm_NFI3","BranchesUnder2cmLeaves_NFI3","Roots_NFI3","TotalC_NFI3","Stem_NFI4","BranchesOver7cm_NFI4","Branches7to2cm_NFI4","BranchesUnder2cmLeaves_NFI4","Roots_NFI4","TotalC_NFI4"
202,42.750164,-4.882975,"A","1",NA,NA,6.22921891707965,0,0.977055527076323,2.2234914584519,4.32860542389581,13.7583713265037,13.3264004438941,0,1.86112870612455,3.1848181843345,7.57974408493845,25.9520914192916,0,0,0,0,0,0
204,42.740962,-4.894913,"A","3E","A","1",36.1594884575593,0,4.953177922895,10.1360724632912,25.0915733047178,76.3403121484633,45.809789278465,0,5.96414645689554,10.7195509024633,28.4026455616164,90.8961321994403,35.9405926630601,0,4.48437937893878,7.3920298315078,20.7245796201288,68.5415814936354
206,42.741363,-4.870492,"A","1",NA,NA,42.365136445337,0,5.04556440617365,10.7579204015535,27.6149936723553,85.7836149254195,17.9346601647014,0,1.8035489051613,3.02145985133715,9.61446156013945,32.3741304813393,0,0,0,0,0,0
207,42.731961,-4.894639,"A","1",NA,NA,53.8316946792824,0,6.67575911120563,13.4956142670863,35.4522898018551,109.455357859429,61.2400400600932,0,5.98115354668702,10.0640309974772,32.492139605271,109.777364209528,0,0,0,0,0,0
208,42.732163,-4.88243,"A","1",NA,NA,37.2815757873422,2.89674048833202,7.81594692802835,14.28783960541,23.9749871300636,86.2570899391762,44.2690753288566,1.29823083729545,6.14053711260924,9.7240797213367,23.7307583168633,85.1626813169612,0,0,0,0,0,0
209,42.723162,-4.882158,"A","1",NA,NA,10.1706126474276,0.0238461834687822,1.59150402051015,5.05982664309459,7.15301103111326,23.9988005256143,14.805513152289,0.423703531392986,2.81048316593812,5.03258934179229,9.75022885291884,32.8225180443313,0,0,0,0,0,0
210,42.714161,-4.881886,"A","1",NA,NA,29.4178952061676,3.57798241041844,6.81693857728352,13.0406336881071,17.2595720385355,70.1130219205122,44.3053907169604,5.15518957649803,7.59909511096238,11.4603030840283,17.7617883073874,86.2817667958366,0,0,0,0,0,0
214,42.69636,-4.86914,"A","1",NA,NA,13.4983288585125,0.0168921595515699,2.80511218588797,8.21526738608361,11.8658676408062,36.4014682308418,33.1972947425448,0.00281338654591391,5.68823846418715,11.0676960803677,24.2964290143018,74.2524716879473,0,0,0,0,0,0
216,42.68716,-4.88107,"A","1",NA,NA,22.4191158446401,0,3.32504802176997,7.03925510223947,16.3085238601688,49.0919428288183,58.3240125099591,0,5.0221404060515,8.26946811897983,28.8295832058505,100.445204240841,0,0,0,0,0,0
218,42.687558,-4.856669,"A","1",NA,NA,14.0002392478091,0.0142834900322474,3.37890650719883,8.87317606634147,12.6646090631578,38.9312143745394,34.757027253166,0,5.89873061723481,10.4440258829273,24.2507609676719,75.350544721,0,0,0,0,0,0
220,42.668957,-4.892724,"A","1",NA,NA,43.3944191831245,0,6.99942983657446,15.1257368389794,33.5013702778229,99.0209561365013,37.8962444592003,0,4.01552752076616,7.22187686429623,21.7062487238302,70.8398975680929,0,0,0,0,0,0
223,42.79596,-4.835453,"A","3C",NA,NA,1.61434726243227,0,0.525346816721803,0.949957658129181,1.75593722938477,4.84558896666802,7.19223628473327,0,1.72862073916382,3.06673113364684,6.81042734027022,18.7980154978141,0,0,0,0,0,0
224,42.796734,-4.786564,"A","1",NA,NA,0.398834703655251,0,0.0671783672395731,0.138300870898564,0.364197717897196,0.968511659690585,1.15526167781582,0,0.160780004187632,0.332340985966772,0.988475700836509,2.63685836880673,0,0,0,0,0,0
231,42.772443,-4.602519,"A","4",NA,NA,20.5108852794363,0,6.87082758975909,15.9988524699417,22.9391317917426,66.3196971308796,34.4598711933638,0,5.59373312154133,9.65633059038521,23.2839979622628,72.9939328675531,0,0,0,0,0,0
233,42.77362686,-4.54141932,NA,NA,"A","1",0,0,0,0,0,0,0,0,0,0,0,0,8.04308035178454,0.196652420642141,3.0548609229985,7.70291839363012,9.65695207455214,28.6544641636074
235,42.761666,-4.724451,"A","1",NA,NA,4.53437259242459,0,1.10173160770701,1.61292712287506,3.86689454666207,11.1159258696687,5.6845166112143,0,1.21275346459907,1.22014545571971,3.69221232795592,11.809627859489,0,0,0,0,0,0
238,42.763948,-4.565635,"A","4",NA,NA,0,0,0,0,0,0,0.453280471729146,0,0.258551952751507,0.754641785916536,0.729229248541251,2.19570345893844,0,0,0,0,0,0
239,42.764114,-4.553418,"A","4C","A","4",0,0,0,0,0,0,1.36493845189927,0.268659910136843,0.4996275243407,0.664363662047361,0.856389791207758,3.65397933963193,58.6190715852902,6.83319482889363,13.3738185336965,13.0597727103041,21.5272168449294,113.413074503114
240,42.76428,-4.5412,"A","4C",NA,NA,0,0,0,0,0,0,0.717379900422404,0,0.259728760209452,0.281780643645339,0.604688038670225,1.86357734294742,0,0,0,0,0,0
