"Estadillo","CoorX","CoorY","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
453,366901,4720793,1004,6,,7.0,Shady slope,Slightly stony,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
454,370877,4720814,970,6,,1.5,All exposures,Slightly stony,Loam texture,Mediterranean,Highly humic,Moderately acidic (5>pH<6),Siliceous soil
458,362936,4719770,1000,9,,6.25,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
461,371894,4719803,1014,5,,2.5,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
465,353868,4718832,1043,11,,3.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
472,354883,4717798,1039,11,,0.25,All exposures,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
475,354882,4716797,1032,2,,2.75,Sunny slope,Slightly stony,Sandy texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
478,370892,4716793,933,5,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
479,371880,4716791,950,5,,0.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
486,371893,4714777,926,11,,1.5,All exposures,Slightly stony,Sandy texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
490,361938,4713829,1008,5,,9.0,Shady slope,Slightly stony,Clay texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
495,357928,4712810,1011,5,,1.0,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
499,365895,4711778,997,11,,0.5,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
504,347892,4709783,987,8,,0.25,All exposures,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
508,368879,4708799,951,5,,3.0,Sunny slope,No stoniness,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
514,368910,4707768,946,6,,6.25,Sunny slope,Slightly stony,Loam texture,Mediterranean,Low humic,Moderately acidic (5>pH<6),Siliceous soil
527,381904,4719769,945,5,,0.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
528,375897,4717807,961,5,,1.0,All exposures,No stoniness,Clay texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
530,375915,4716812,998,7,,2.0,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
532,376914,4715806,995,5,,0.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
534,375886,4714758,992,6,,1.25,All exposures,Slightly stony,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
536,381923,4714793,916,5,,1.5,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
537,382949,4714815,898,5,,1.0,All exposures,No stoniness,Loam texture,Mediterranean,Moderately humic,Moderately acidic (5>pH<6),Siliceous soil
