"ID","IDmuni","Tronco_Corteza_mean_IFN2P","Ramas_7_mean_IFN2P","Ramas_7_2_mean_IFN2P","Ramas_2_mean_IFN2P","Raiz_mean_IFN2P","Tronco_Corteza_mean_IFN3P","Ramas_7_mean_IFN3P","Ramas_7_2_mean_IFN3P","Ramas_2_mean_IFN3P","Raiz_mean_IFN3P","Tronco_Corteza_mean_IFN4P","Ramas_7_mean_IFN4P","Ramas_7_2_mean_IFN4P","Ramas_2_mean_IFN4P","Raiz_mean_IFN4P"
"11",34042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0889434082944862,0.0165885700462062,0.0192410633323641,0.021208062956494,0.0321607680560383
"12",34049,2.69615284620705,0.308385730724378,0.531554382444398,0.953475799097296,1.39034047287711,4.63075077703868,0.399563256144743,0.926424375958096,1.41430633243374,2.55257102874068,9.57267303812885,0.401726431258274,1.55200438527842,2.00189878786387,4.74783059495321
"13",34052,NA,NA,NA,NA,NA,0.188275882694106,0.00191660765814726,0.0344928955863807,0.0277522011139722,0.0947939164017391,0.0590592512998197,0.00307371151710838,0.0104672547664575,0.00802129843384468,0.0199577762569512
"14",34055,NA,NA,NA,NA,NA,0.418160082504232,0.0197492810268725,0.0958749392383073,0.100416374833588,0.284024207381095,0.648685625506046,0.140945409245108,0.179521474479036,0.15456924556412,0.346483669397231
"15",34056,4.40797552166014,0.664461729354739,0.851987035548948,0.844634982498225,2.75262108010868,7.97159961564858,0.957156347214121,1.49769515639544,1.32722416585762,4.36285202468443,11.8169294073773,0.914352685089289,2.16694586363757,1.72805894528116,5.87508200198325
"16",34061,2.37041046883137,0.00214098567695358,0.363770789051967,0.492016283249613,1.35008349431723,4.93363587643482,0.34578798251621,0.932712378715536,1.2206556138959,2.53761525367411,9.99052753102545,0.739305159722275,1.69772602592782,1.99830517068799,4.2604184293669
"17",34062,4.44507960157826,0.310279218679786,0.959584871616764,1.82802184267087,2.92634463476298,8.36683094443489,0.316947937497111,1.51368779269825,2.3636483091447,5.00266747311935,14.8608980219513,0.484639406840193,2.44364917154967,2.96081793729721,7.41968890404638
"18",34067,2.2684386132567,0.0672094578028484,0.489612020090653,0.459606041608277,1.47786650821163,5.31206892155686,0.820868863748616,1.13974190955042,0.952813293036723,3.14981724765713,8.32909189104547,0.340822962944898,1.71693764912305,1.21996419729422,4.39314598898902
"19",34068,0.456985914441619,0.00186307365644132,0,0.107998185203159,0.161759315828436,4.99234348708793,0.301425393468181,0.916690463092073,1.21028662226474,2.54649979581555,8.02716345466127,0.876252440789773,1.28696528527333,1.78576840431442,2.97578645790884
"20",34071,0.259379128633543,0.00102326346543902,0,0.0598617609135507,0.092059918462329,0.82836287028265,0.0743841313031268,0.145479266068768,0.209292073358489,0.408026245684115,2.21037771753585,0.218435854951937,0.361899023911875,0.47327684558964,0.858544728946954
"21",34073,5.37592144358464,0.399622994733543,1.15256635338952,2.39911850262501,3.62847536474866,9.35069697487276,0.45411655244947,1.6424569902336,2.87964572995703,5.55974032357461,13.0438994328599,0.613540220960345,1.99333395233103,2.88022351573884,6.32493251883968
"22",34080,1.02394091428939,0,0.201491707617212,0.203902033335325,0.648023607179445,13.4024469968267,0.942966127835002,2.42495093133856,2.54823572083853,7.44505876742779,16.4804247294572,0.254708146618221,2.91343364519712,2.77247620645424,8.68025858237517
"23",34083,0.617818324004878,0.0453973385526279,0.113387887463431,0.163795768819952,0.319425997035396,1.27116664665591,0.0785773086282045,0.2458489068864,0.375587025981643,0.721946044224346,4.63470993119661,0.382793881986287,0.765658282392179,0.961194994381722,1.89832187833668
"24",34089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608206083817923,0.0108251574507868,0.0108251574507868,0.0149599104886113,0.0163824574077833
"25",34091,3.69280519839813,0.356867518916076,0.688085421517229,1.03077193968416,1.83797427505678,6.34713317208394,0.867602134602532,1.21936696246417,1.86975095479758,2.75847893019848,12.124495730918,1.23872010236928,1.98073251331627,2.6561918329872,4.68462464049835
"26",34093,0.410327922448206,0.00164768901445893,0,0.0957394270621905,0.144392908832235,2.620908832189,0.18411303499557,0.493544492171259,0.606671436622753,1.2630404848742,5.27545655593244,0.389222677294353,0.899134904969571,1.00107714683237,2.14834101705108
"27",34094,2.96589659900183,0.483682459872924,0.540603203283044,0.994732321721678,1.18821578475591,7.46407952858952,1.21557903662578,1.42729477944705,2.23924071635294,2.81908151771288,9.98784918320318,1.62159936327225,1.83245229390151,2.4248888233909,3.09613946100087
"28",34100,2.06797509992808,0,0.490134624513285,1.15671440145885,1.90810585229921,9.62855897278878,0.205562157789093,1.77346896328944,2.94575647504601,6.34156221369585,19.4933215329451,0.139061203897845,3.01262735961429,4.08580293365447,10.9046480792713
"29",34107,1.01839694213601,0.00211395868671785,0.145989530406556,0.484436073363997,0.704379360320035,6.05048767710288,0.39286178313067,1.12145048921715,1.5405764362466,3.15723457140355,9.22922729617571,0.512417263136864,1.51242673362193,1.88941807504796,4.28597276184412
"30",34109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.478515549942451,0.085497897349382,0.0855413803719643,0.11754714242181,0.129787971024443
"31",34110,NA,NA,NA,NA,NA,7.36300822015317,0.597752156646547,1.34213057569265,1.13139169917811,3.89241958728527,8.47077692451628,0.0541077925036062,1.59211362055528,1.12635609469328,4.22829068715257
"32",34113,NA,NA,NA,NA,NA,1.32313038044959,0.0252624505730927,0.255141837080022,0.318519424962154,0.855400090417121,3.21811604414281,0.132856351722063,0.566085220201831,0.62984967802234,1.6320487036164
"33",34114,1.90244635561966,0.159528474162187,0.492413488296406,0.798500359810184,1.31060548917846,5.22906888242665,0.585783723611992,1.02426186579534,1.37775530435216,2.79785174264917,9.79237170617136,0.876641521238738,1.64364557141779,2.03858591424883,4.3060107154551
"34",34122,2.30829748926163,0.222949304864442,0.484309341564773,1.0107132734727,1.43816041616404,4.98453710378072,0.851248848942683,0.963979394181121,1.5102425696574,1.8034370436151,7.17732872183945,0.949977621866842,1.0868990364458,1.68680454503488,2.31629092019756
"35",34124,1.22427919341565,0,0.242585656077352,0.243272301463784,0.770373907219631,3.0989411780153,0.363161486298673,0.573945669535904,0.709186200883407,1.66498964238875,12.3686841186012,0.811096952092698,2.00364484547848,2.52863182202224,5.41989695451707
"36",34126,NA,NA,NA,NA,NA,0.103136037723061,0.0122933810944296,0.0184083918122644,0.0348694612455902,0.0495580659377983,0.201694363504499,7.86731028324082e-05,0.0298641277267204,0.0429850072833692,0.116831135419358
"37",34129,6.30821430003501,0.47281258949996,1.3441289793433,2.74722161346851,4.18791826143688,11.997973245627,0.525243612393478,2.10838314242674,3.68414804232574,7.23305043032074,16.9348016114933,0.676338608226363,2.58762934052794,3.75957494486154,8.47029697365182
"38",34131,NA,NA,NA,NA,NA,0.0669177614686215,0.0290312315131817,0.0346507438587556,0.0229152611102553,0.0670931065116904,1.03632247372392,0.197392390004307,0.210307272443972,0.25678483514373,0.403367366150861
"39",34135,0.345931358746858,0.111218801931557,0.111218801931557,0.15369968789006,0.130592382053259,4.03009725736582,0.699400776886801,0.836438730538696,1.0120983327994,2.13281210756986,9.81277985790861,0.533186749877657,1.71712090632169,1.7900191050732,4.57571705284969
"40",34136,0.309179733478617,0.089902130036578,0.089902130036578,0.124240947459378,0.107035704410666,2.46111921429866,0.0264898717999,0.437202508681427,0.616511653486722,1.54085286000654,4.80719611318317,0.100737237174378,0.80714240344355,0.91603735681847,2.51716172903412
"41",34139,1.14610933057746,0.258505333316396,0.257039716520238,0.441573927136572,0.433371961001641,4.81950961514248,0.930712236081468,0.928354746178109,1.42946991985139,1.52036384635209,10.3151129040421,1.47249197992948,1.55220371514274,2.47225201617681,3.16499732534149
"42",34140,2.00476158483873,0.128038668817933,0.538576055907156,0.998752828217493,1.5675291134551,5.67844337626837,0.427871874053083,1.08795768818574,1.48732293819711,3.00836010655239,10.9258867265817,0.493914679989628,1.87633072878726,2.15462032252851,5.33521745703871
"43",34143,NA,NA,NA,NA,NA,0.965751619317991,0.00740420277754014,0.183357826898054,0.153368175980862,0.523455582091362,2.57197960159914,0.109159702155419,0.480052223800929,0.419061099909126,1.15853406212603
