"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
331,"43","Quercus pyrenaica",NA,NA,5,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",1,"1–4 stems",3,">15 stems"
338,"25","Pinus nigra",2,11,24,20,0,"1","Young growth",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,70,80,1,"1–4 stems",NA,NA,NA,NA
338,"25","Pinus nigra",2,11,24,20,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",90,70,80,1,"1–4 stems",NA,NA,NA,NA
338,"45","Quercus ilex",NA,NA,NA,0,0,NA,NA,2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,NA,NA,NA,NA,1,"1–4 stems"
345,"25","Pinus nigra",5,33,51,20,35,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
345,"25","Pinus nigra",5,33,51,20,35,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
352,"21","Pinus sylvestris",1,4,12,0,0,"2","Thicket",3,"Polewood",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",1,"Natural",1,"Seed",70,50,60,0,NA,NA,NA,NA,NA
352,"21","Pinus sylvestris",1,4,12,0,0,"3","Polewood",3,"Polewood",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",1,"Natural",1,"Seed",50,50,60,0,NA,NA,NA,NA,NA
352,"43","Quercus pyrenaica",2,7,5,0,0,NA,NA,3,"Polewood",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,30,3,">15 stems",3,">15 stems",2,"5–15 stems"
354,"21","Pinus sylvestris",7,9,10,25,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",70,20,20,1,"1–4 stems",NA,NA,NA,NA
354,"25","Pinus nigra",27,22,32,25,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",70,70,70,1,"1–4 stems",NA,NA,NA,NA
354,"44","Quercus faginea",NA,NA,NA,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,1,"1–4 stems",NA,NA,NA,NA
365,"26","Pinus pinaster",17,21,27,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,40,40,1,"1–4 stems",NA,NA,NA,NA
365,"45","Quercus ilex",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,60,60,2,"5–15 stems",NA,NA,2,"5–15 stems"
368,"26","Pinus pinaster",58,29,32,40,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,80,60,2,"5–15 stems",NA,NA,NA,NA
368,"26","Pinus pinaster",58,29,32,40,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",90,80,60,2,"5–15 stems",NA,NA,NA,NA
