"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
109,"43","Quercus pyrenaica",22,29,33,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,80,90,2,"5–15 stems",3,">15 stems",3,">15 stems"
113,"43","Quercus pyrenaica",6,16,22,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
123,"42","Quercus petraea",41,41,49,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,60,70,3,">15 stems",2,"5–15 stems",3,">15 stems"
123,"43","Quercus pyrenaica",2,NA,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,3,">15 stems",NA,NA,NA,NA
123,"71","Fagus sylvatica",NA,2,3,NA,0,"0","0",NA,NA,3,"Polewood",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",0,NA,10,1,"1–4 stems",NA,NA,3,">15 stems"
125,"43","Quercus pyrenaica",9,22,25,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,90,100,3,">15 stems",NA,NA,NA,NA
125,"43","Quercus pyrenaica",9,22,25,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,100,3,">15 stems",NA,NA,NA,NA
131,"15","Crataegus spp.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,">15 stems",NA,NA,NA,NA
131,"215","Crataegus monogyna",NA,4,5,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,30,NA,NA,2,"5–15 stems",2,"5–15 stems"
131,"278","Sorbus aria",NA,2,3,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,10,NA,NA,3,">15 stems",NA,NA
131,"42","Quercus petraea",10,12,18,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",40,40,40,3,">15 stems",1,"1–4 stems",NA,NA
131,"78","Sorbus spp.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,">15 stems",NA,NA,NA,NA
133,"42","Quercus petraea",25,33,39,0,60,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",50,50,50,3,">15 stems",NA,NA,NA,NA
133,"43","Quercus pyrenaica",19,19,21,0,60,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,40,40,3,">15 stems",NA,NA,NA,NA
151,"215","Crataegus monogyna",NA,NA,NA,0,40,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,NA,NA,3,">15 stems",3,">15 stems"
151,"43","Quercus pyrenaica",48,53,61,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,70,70,3,">15 stems",3,">15 stems",3,">15 stems"
151,"43","Quercus pyrenaica",48,53,61,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,70,70,3,">15 stems",3,">15 stems",3,">15 stems"
154,"43","Quercus pyrenaica",2,10,23,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
154,"43","Quercus pyrenaica",2,10,23,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
160,"42","Quercus petraea",26,28,23,0,0,"3","Polewood",3,"Polewood",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,50,70,3,">15 stems",2,"5–15 stems",3,">15 stems"
160,"43","Quercus pyrenaica",NA,1,3,0,0,"0","0",3,"Polewood",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,40,20,NA,NA,1,"1–4 stems",2,"5–15 stems"
162,"42","Quercus petraea",2,6,16,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,1,"1–4 stems",NA,NA,NA,NA
162,"43","Quercus pyrenaica",18,27,24,0,0,"0","0",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,70,60,3,">15 stems",NA,NA,NA,NA
162,"43","Quercus pyrenaica",18,27,24,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,70,60,3,">15 stems",NA,NA,NA,NA
162,"65","Ilex aquifolium",NA,NA,1,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,NA,NA,1,"1–4 stems"
168,"42","Quercus petraea",34,39,41,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,70,80,2,"5–15 stems",NA,NA,NA,NA
172,"43","Quercus pyrenaica",34,43,23,0,0,"4","Old growth",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
173,"43","Quercus pyrenaica",NA,4,12,0,0,"3","Polewood",2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,80,90,3,">15 stems",3,">15 stems",3,">15 stems"
173,"43","Quercus pyrenaica",NA,4,12,0,0,"0","0",2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,80,90,3,">15 stems",3,">15 stems",3,">15 stems"
174,"215","Crataegus monogyna",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,NA,NA,1,"1–4 stems",NA,NA
174,"295","Prunus spinosa",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,NA,NA,3,">15 stems",NA,NA
174,"43","Quercus pyrenaica",7,9,17,0,0,"4","Old growth",3,"Polewood",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,70,90,3,">15 stems",3,">15 stems",2,"5–15 stems"
175,"43","Quercus pyrenaica",1,1,2,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
175,"43","Quercus pyrenaica",1,1,2,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
181,"43","Quercus pyrenaica",16,18,24,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,90,90,3,">15 stems",3,">15 stems",2,"5–15 stems"
184,"43","Quercus pyrenaica",4,12,19,0,0,"2","Thicket",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
190,"43","Quercus pyrenaica",20,NA,NA,NA,NA,"3","Polewood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,3,">15 stems",NA,NA,NA,NA
190,"44","Quercus faginea",NA,28,36,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,90,90,NA,NA,3,">15 stems",1,"1–4 stems"
193,"42","Quercus petraea",12,9,10,0,0,NA,NA,3,"Polewood",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,1,"1–4 stems",2,"5–15 stems",NA,NA
193,"43","Quercus pyrenaica",45,35,44,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,70,70,1,"1–4 stems",NA,NA,NA,NA
193,"71","Fagus sylvatica",4,2,3,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,1,"1–4 stems",NA,NA,1,"1–4 stems"
194,"42","Quercus petraea",15,15,20,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,1,"1–4 stems",NA,NA,NA,NA
194,"71","Fagus sylvatica",8,8,8,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",50,50,60,3,">15 stems",3,">15 stems",1,"1–4 stems"
194,"71","Fagus sylvatica",8,8,8,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,50,60,3,">15 stems",3,">15 stems",1,"1–4 stems"
203,"21","Pinus sylvestris",60,46,43,40,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",40,100,100,NA,NA,NA,NA,3,">15 stems"
203,"21","Pinus sylvestris",60,46,43,40,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,3,">15 stems"
211,"21","Pinus sylvestris",16,24,22,30,0,"1","Young growth",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",40,100,100,NA,NA,NA,NA,1,"1–4 stems"
211,"21","Pinus sylvestris",16,24,22,30,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,1,"1–4 stems"
213,"21","Pinus sylvestris",13,20,14,35,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",60,60,70,NA,NA,1,"1–4 stems",NA,NA
213,"21","Pinus sylvestris",13,20,14,35,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",40,60,70,NA,NA,1,"1–4 stems",NA,NA
213,"43","Quercus pyrenaica",1,1,1,NA,0,NA,NA,NA,NA,3,"Polewood",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",NA,NA,10,3,">15 stems",3,">15 stems",2,"5–15 stems"
217,"21","Pinus sylvestris",7,11,14,35,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",60,40,40,1,"1–4 stems",NA,NA,NA,NA
217,"21","Pinus sylvestris",7,11,14,35,0,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",40,40,40,1,"1–4 stems",NA,NA,NA,NA
217,"25","Pinus nigra",3,5,6,35,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",NA,40,40,1,"1–4 stems",1,"1–4 stems",NA,NA
219,"21","Pinus sylvestris",29,28,27,30,0,"2","Thicket",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",40,90,100,NA,NA,NA,NA,1,"1–4 stems"
219,"21","Pinus sylvestris",29,28,27,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",90,90,100,NA,NA,NA,NA,1,"1–4 stems"
227,"57","Salix spp.",NA,NA,NA,0,30,NA,NA,2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,NA,NA,2,"5–15 stems"
229,"43","Quercus pyrenaica",5,6,18,0,0,"3","Polewood",4,"Old growth",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,70,3,">15 stems",3,">15 stems",3,">15 stems"
229,"43","Quercus pyrenaica",5,6,18,0,0,"0","0",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,30,3,">15 stems",3,">15 stems",3,">15 stems"
229,"43","Quercus pyrenaica",5,6,18,0,0,"0","0",4,"Old growth",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,70,3,">15 stems",3,">15 stems",3,">15 stems"
229,"43","Quercus pyrenaica",5,6,18,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,30,3,">15 stems",3,">15 stems",3,">15 stems"
234,"43","Quercus pyrenaica",6,13,34,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
234,"43","Quercus pyrenaica",6,13,34,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
236,"43","Quercus pyrenaica",12,13,31,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
236,"43","Quercus pyrenaica",12,13,31,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
241,"21","Pinus sylvestris",26,32,36,35,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,1,"1–4 stems"
242,"21","Pinus sylvestris",21,28,28,35,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
250,"21","Pinus sylvestris",16,24,25,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,2,"5–15 stems"
252,"43","Quercus pyrenaica",14,18,24,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
252,"43","Quercus pyrenaica",14,18,24,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
259,"21","Pinus sylvestris",21,28,20,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",60,60,60,NA,NA,1,"1–4 stems",1,"1–4 stems"
260,"21","Pinus sylvestris",19,21,16,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",50,60,50,1,"1–4 stems",NA,NA,NA,NA
260,"25","Pinus nigra",1,5,7,0,0,"3","Polewood",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",60,20,20,1,"1–4 stems",NA,NA,NA,NA
267,"21","Pinus sylvestris",30,23,25,35,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",70,70,80,1,"1–4 stems",NA,NA,NA,NA
267,"25","Pinus nigra",1,1,3,35,0,NA,NA,3,"Polewood",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",NA,30,20,1,"1–4 stems",NA,NA,NA,NA
