"Estadillo","CoorX","CoorY","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","HoNFI2","HoNFI3","HoNFI4","HmNFI2","HmNFI3","HmNFI4","DgNFI2","DgNFI3","DgNFI4","DmNFI2","DmNFI3","DmNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","CompositionNFI2","CompositionNFI3","CompositionNFI4","StructureNFI2","StructureNFI3","StructureNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SlendernessNFI2","SlendernessNFI3","SlendernessNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","HartNFI2","HartNFI3","HartNFI4"
113,363902,4743810,91,"2004-11-03 00:00","2019-07-15T22:00:00Z",55,70,80,6,16,22,7.62085159520641,9.47615031763029,12.9649987963677,9.58333333333333,8.625,11.7818181297996,0.288710134333152,0.254888026886317,0.273584622109039,0.25475,0.22025,0.249272727272727,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,37.618580307491,39.1600454029512,47.2647700320187,0.314809757495697,0.782800650200241,0.654039546360822,92.5835136535845,42.7246358023857,36.160303557544
123,381873,4757828,91,"04/28/03 00:00:00","2019-07-03T22:00:00Z",90,90,100,43,43,52,11.817702729841,16.4320938909475,20.2869862812871,10.3255813953488,15.7790697674419,18.9384615467145,0.241510712844388,0.27528981557286,0.293812423809163,0.220290697674419,0.260453488372093,0.278403846153846,0,0,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0.360739082636114,0.223070705264478,0.293577328248608,46.8725257323832,60.5830617438278,68.0251433604444,1.23397518373663,0.882885580922495,1.10125533501856,23.7445285695934,22.4907177000842,16.9822500949386
125,378901,4756814,91,"2005-05-03 00:00","2019-07-08T22:00:00Z",60,65,85,9,22,25,6.81830988618379,10.1140846016433,12.3447883827224,6.38888888888889,9.36363636363636,11.8239999771118,0.105606712749606,0.142090680073101,0.171921086548451,0.103555555555556,0.140977272727273,0.16972,0,0,0,"Pure","Pure","Pure","Even-aged","Uneven-aged","Uneven-aged",0,0,0,61.6952789699571,66.4194744478478,69.667687821776,0.277942196200226,0.417675200027518,0.605377317755735,49.135903684073,34.2869172344589,27.1891353216382
131,385851,4755778,91,"05/14/03 00:00:00","2019-05-12T22:00:00Z",70,75,80,14,19,28,11.5537590029999,12.6370265307906,14.7890005837574,11,11.6315789473684,12.4071429286684,0.420134502272784,0.417662779486539,0.390084823651033,0.397,0.385552631578947,0.341625,0,0,2,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.677711574386536,0.677677923729731,1.25484800021081,27.7078085642317,30.1685891748004,36.3180180861132,0.233470298750693,0.272642423277856,0.578355017469208,66.9632592525459,50.9997409813422,29.169958606521
133,377862,4754828,91,"2004-10-03 00:00","2019-06-25T22:00:00Z",90,90,95,44,52,60,9.95179964046125,13.5176838825658,17.2970892810718,9.72727272727273,12.2980769230769,15.0449999570847,0.14800921347243,0.164991928707017,0.191053199397445,0.145204545454545,0.16075,0.184966666666667,0,2,7,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.641945688275869,0.664082918317941,0.579335449124711,66.9901393019252,76.5043665510229,81.3389797643791,0.937824036712333,1.00352719912174,1.13093219129526,22.9690463604022,17.8416142965901,14.7431132072225
151,376861,4751808,91,"03/26/03 00:00:00","2019-09-05T22:00:00Z",90,90,95,48,53,61,10.3280124625009,12.4667543007764,14.7074378492605,9.66666666666667,11.2547169811321,12.7934426362397,0.148805136840097,0.167232001880113,0.184545087564699,0.138583333333333,0.158216981132075,0.175319672131148,0,0,3,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,69.7534576067348,71.1346967980442,72.9720885324815,1.56358326002246,1.43253683120207,1.4560354311859,18.0089794201506,17.1178015879657,15.5763153678323
154,380891,4751806,91,"05/21/03 00:00:00","2019-03-20T23:00:00Z",60,40,50,2,10,23,4.5,7.1591549430919,10.4552738279134,4.75,6.05,8.26956518836643,0.0792693194117371,0.106680949564578,0.152903280028514,0.07925,0.10485,0.146521739130435,0,0,0,"Pure","Pure","Pure","Even-aged","Even-aged","Uneven-aged",0,0,0,59.9369085173502,57.7014783023367,56.4391689413733,0.0467684478886939,0.32016247343626,0.669351127079549,144.172806145929,43.9575235852558,27.7889763930328
160,377887,4750782,91,"03/24/03 00:00:00","2019-08-13T22:00:00Z",90,85,90,26,29,27,11.8536776513153,16.5658842421045,19.732900433406,11.25,13.9827586206897,17.2518518942374,0.214302535969775,0.243986326637799,0.300224684380067,0.2055,0.233241379310345,0.286611111111111,0,0,1,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0.169082560538792,0.657847016684568,54.7445255474453,59.949733885275,60.1925439225185,0.675160827387909,0.76120744667255,0.547887121155462,29.7927722952297,22.2529808859927,25.3278345397192
162,396931,4750791,91,"2004-08-03 00:00","2019-06-13T22:00:00Z",90,85,80,20,34,43,11.0658842421045,12.7316117434234,14.5151174213525,9.175,10.3970588235294,12.0976745139721,0.209024609795115,0.23236177105337,0.255411216540863,0.193275,0.222514705882353,0.244523255813953,0,1,4,"Mixed","Mixed","Mixed","Uneven-aged","Uneven-aged","Uneven-aged",0.140282036377311,0.598479592512661,1.15226693771139,47.4712197645841,46.7252660101778,49.4745355557373,0.722515158776355,0.824115287206111,0.784849166350212,31.2766172096799,27.9687432438554,24.3294054245199
168,398912,4749759,91,"2004-01-03 00:00","2019-04-08T22:00:00Z",90,90,90,34,39,41,20.5812396982591,22.4058215457903,24.9289413928328,18.7205882352941,19.7435897435897,23.2658535096704,0.303983878732757,0.347888244655135,0.388405566574864,0.289602941176471,0.332025641025641,0.374012195121951,0,1,2,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,64.6422586705936,59.464051278091,62.2061360915899,0.819596214788138,0.93098941364512,0.866273879215322,20.6174190202055,19.801148946036,20.1552577237283
172,375895,4747785,91,"04/22/03 00:00:00","2019-07-30T22:00:00Z",85,90,95,34,43,23,11.6140846016433,15,16.4926446508049,9.52941176470588,12.1162790697674,15.70434777633,0.131396039200758,0.152430559867093,0.206006358069884,0.126985294117647,0.146918604651163,0.201369565217391,0,3,0,"Pure","Pure","Pure","Uneven-aged","Uneven-aged","Uneven-aged",0,0,0,75.0434279096699,82.4693312227938,77.9876927249467,0.960412627719807,1.03336977119799,0.517460772530064,18.4922108364548,15.5502243014682,25.4507544287999
173,376880,4747795,91,"04/22/03 00:00:00","2019-09-05T22:00:00Z",90,90,95,1,5,14,12,8.48231611743424,9.20343189718733,12,8.4,6.66428576196943,0.2545,0.171156507325897,0.19193641990439,0.2545,0.1567,0.158035714285714,0,0,0,"Pure","Mixed","Mixed","Even-aged","Uneven-aged","Uneven-aged",0,0.226145255943991,0.0789767112990021,47.1512770137525,53.6056158264199,42.1694918271512,0.0146384945324105,0.105296852004466,0.504209292230758,229.431596594998,79.2872667430336,31.6819690426648
