"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
190,104,"Other papilionoid shrubs (Ht<1.5m)",60,NA,NA,3,NA,NA
190,119,"Rosa spp.",NA,2,2,NA,18,15
190,182,"Lithodora sp.",NA,NA,2,NA,NA,2
190,1103,"Ulex spp.",NA,NA,85,NA,NA,6
190,2950,NA,NA,NA,5,NA,NA,12
190,3155,"Genista scorpius",NA,25,5,NA,3,9
193,102,"Erica spp.",5,NA,NA,7,NA,NA
193,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,16,NA,NA
193,121,"Rubus spp.",NA,5,4,NA,4,1
193,127,"Santolina rosmarinifolia",5,NA,NA,5,NA,NA
193,1102,"Erica arborea",NA,3,NA,NA,3,NA
193,4104,"Cytisus spp.",NA,NA,7,NA,NA,6
194,102,"Erica spp.",10,NA,NA,6,NA,NA
194,103,"Other papilionoid shrubs (Ht>1.5m)",15,NA,NA,16,NA,NA
194,137,"Vaccinium myrtillus",NA,10,NA,NA,2,NA
200,102,"Erica spp.",60,2,5,10,1,2
200,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,4,NA,NA
200,106,"Calluna vulgaris",NA,NA,2,NA,NA,5
200,117,"Halimium spp.",5,2,10,3,1,3
200,136,"Chamaespartium tridentatum",NA,10,1,NA,3,2
200,2102,"Erica australis",NA,45,NA,NA,13,NA
203,102,"Erica spp.",5,NA,NA,8,NA,NA
203,106,"Calluna vulgaris",NA,2,1,NA,1,1
203,117,"Halimium spp.",NA,3,4,NA,1,3
203,136,"Chamaespartium tridentatum",NA,2,2,NA,1,3
203,2102,"Erica australis",NA,5,3,NA,1,5
205,102,"Erica spp.",30,5,4,8,3,4
205,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,3,NA,NA
205,106,"Calluna vulgaris",NA,2,2,NA,2,2
205,107,"Arctostaphylos uva-ursi",NA,NA,1,NA,NA,1
205,117,"Halimium spp.",NA,5,2,NA,2,2
205,136,"Chamaespartium tridentatum",NA,2,1,NA,3,2
211,102,"Erica spp.",20,NA,NA,10,NA,NA
211,104,"Other papilionoid shrubs (Ht<1.5m)",10,5,NA,4,13,NA
211,106,"Calluna vulgaris",15,20,6,4,3,3
211,117,"Halimium spp.",5,10,7,3,5,4
211,136,"Chamaespartium tridentatum",NA,1,3,NA,8,4
211,2102,"Erica australis",NA,15,3,NA,10,14
211,2103,"Adenocarpus spp.",NA,NA,2,NA,NA,3
211,4104,"Cytisus spp.",NA,NA,7,NA,NA,7
211,5102,"Erica umbellata",NA,NA,5,NA,NA,1
213,102,"Erica spp.",50,NA,15,8,NA,2
213,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,4,NA,NA
213,106,"Calluna vulgaris",5,20,12,4,6,5
213,107,"Arctostaphylos uva-ursi",10,5,6,1,1,1
213,117,"Halimium spp.",5,5,7,3,2,3
213,136,"Chamaespartium tridentatum",NA,10,6,NA,2,1
213,2102,"Erica australis",NA,40,30,NA,15,14
215,102,"Erica spp.",40,7,3,13,1,4
215,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,5,NA,NA
215,106,"Calluna vulgaris",10,5,1,5,4,2
215,117,"Halimium spp.",5,5,4,3,2,1
215,136,"Chamaespartium tridentatum",NA,5,NA,NA,2,NA
215,2102,"Erica australis",NA,35,NA,NA,12,NA
217,102,"Erica spp.",50,NA,NA,12,NA,NA
217,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,3,NA,NA
217,106,"Calluna vulgaris",10,10,4,2,4,4
217,107,"Arctostaphylos uva-ursi",5,5,NA,2,1,NA
217,117,"Halimium spp.",10,10,10,3,1,2
217,136,"Chamaespartium tridentatum",NA,10,8,NA,2,3
217,2102,"Erica australis",NA,50,40,NA,15,14
219,102,"Erica spp.",40,NA,NA,6,NA,NA
219,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,3,NA,NA
219,106,"Calluna vulgaris",40,20,15,6,7,3
219,117,"Halimium spp.",NA,3,NA,NA,1,NA
219,136,"Chamaespartium tridentatum",NA,10,7,NA,3,3
219,2102,"Erica australis",NA,45,15,NA,10,5
