"Estadillo","SpeciesID","SpeciesName","CanopySHRNFI2","CanopySHRNFI3","CanopySHRNFI4","HmSHRNFI2","HmSHRNFI3","HmSHRNFI4"
328,102,"Erica spp.",15,NA,NA,2,NA,NA
328,104,"Other papilionoid shrubs (Ht<1.5m)",15,NA,NA,3,NA,NA
328,115,"Viburnum spp.",1,NA,NA,3,NA,NA
328,119,"Rosa spp.",5,20,7,4,8,3
328,131,"Ribes spp.",NA,10,NA,NA,3,NA
328,141,"Hedera helix",NA,50,50,NA,6,1
328,144,"Lonicera spp.",NA,10,NA,NA,4,NA
328,1144,"Lonicera etrusca",NA,NA,25,NA,NA,2
328,1555,NA,NA,NA,4,NA,NA,6
328,2950,NA,NA,NA,40,NA,NA,5
328,3115,NA,NA,NA,3,NA,NA,5
328,4104,"Cytisus spp.",NA,20,NA,NA,6,NA
329,103,"Other papilionoid shrubs (Ht>1.5m)",40,NA,NA,4,NA,NA
329,117,"Halimium spp.",NA,NA,1,NA,NA,1
329,129,"Thymus spp.",20,7,20,2,1,1
329,2109,"Lavandula stoechas",NA,3,NA,NA,2,NA
329,3109,"Lavandula lanata",NA,NA,5,NA,NA,2
329,3155,"Genista scorpius",NA,8,20,NA,4,4
331,102,"Erica spp.",70,NA,20,2,NA,2
331,103,"Other papilionoid shrubs (Ht>1.5m)",30,NA,NA,3,NA,NA
331,106,"Calluna vulgaris",15,1,NA,4,3,NA
331,107,"Arctostaphylos uva-ursi",15,NA,NA,1,NA,NA
331,120,"Daboecia cantabrica",NA,15,5,NA,3,3
331,121,"Rubus spp.",NA,NA,1,NA,NA,3
331,136,"Chamaespartium tridentatum",NA,5,NA,NA,2,NA
331,137,"Vaccinium myrtillus",NA,1,NA,NA,2,NA
331,144,"Lonicera spp.",NA,1,NA,NA,3,NA
331,1167,"Cytisus scoparius",NA,NA,1,NA,NA,4
331,2102,"Erica australis",NA,1,2,NA,3,4
331,5102,"Erica umbellata",NA,10,NA,NA,3,NA
331,6102,"Erica scoparia",NA,20,NA,NA,3,NA
338,102,"Erica spp.",NA,10,8,NA,3,3
338,103,"Other papilionoid shrubs (Ht>1.5m)",30,NA,NA,3,NA,NA
338,119,"Rosa spp.",NA,NA,1,NA,NA,3
338,129,"Thymus spp.",20,NA,NA,1,NA,NA
338,142,"Helianthemum spp.",NA,NA,10,NA,NA,1
338,155,"Genista spp.",NA,20,20,NA,5,3
338,2109,"Lavandula stoechas",NA,5,5,NA,2,2
345,103,"Other papilionoid shrubs (Ht>1.5m)",30,NA,NA,4,NA,NA
345,129,"Thymus spp.",15,NA,NA,1,NA,NA
345,2109,"Lavandula stoechas",NA,5,5,NA,2,2
345,3155,"Genista scorpius",NA,7,7,NA,2,2
352,102,"Erica spp.",75,45,50,2,2,2
352,106,"Calluna vulgaris",15,7,NA,4,2,NA
352,144,"Lonicera spp.",NA,2,3,NA,3,15
352,9104,"Genistella spp.",NA,2,NA,NA,3,NA
354,102,"Erica spp.",70,20,30,2,2,2
354,103,"Other papilionoid shrubs (Ht>1.5m)",25,NA,NA,4,NA,NA
354,119,"Rosa spp.",5,2,2,7,12,15
354,182,"Lithodora sp.",NA,NA,5,NA,NA,2
354,3155,"Genista scorpius",NA,10,NA,NA,2,NA
363,103,"Other papilionoid shrubs (Ht>1.5m)",5,NA,NA,3,NA,NA
363,119,"Rosa spp.",NA,5,1,NA,2,4
363,155,"Genista spp.",NA,NA,1,NA,NA,4
365,102,"Erica spp.",NA,NA,5,NA,NA,1
365,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,4,NA,NA
365,119,"Rosa spp.",NA,5,1,NA,3,3
365,128,"Helichrysum stoechas",NA,1,NA,NA,3,NA
365,129,"Thymus spp.",NA,10,12,NA,1,2
365,144,"Lonicera spp.",NA,2,NA,NA,4,NA
365,154,"Dorycnium pentaphyllum",NA,10,NA,NA,2,NA
365,155,"Genista spp.",NA,20,12,NA,6,4
365,182,"Lithodora sp.",NA,NA,2,NA,NA,1
365,2109,"Lavandula stoechas",NA,10,5,NA,3,3
365,4102,"Erica erigena",NA,20,NA,NA,2,NA
368,102,"Erica spp.",25,20,NA,2,2,NA
368,103,"Other papilionoid shrubs (Ht>1.5m)",5,NA,NA,3,NA,NA
368,106,"Calluna vulgaris",5,NA,4,3,NA,3
368,107,"Arctostaphylos uva-ursi",5,NA,NA,1,NA,NA
368,136,"Chamaespartium tridentatum",NA,NA,2,NA,NA,3
368,5102,"Erica umbellata",NA,NA,56,NA,NA,2
371,102,"Erica spp.",25,35,10,2,3,2
371,103,"Other papilionoid shrubs (Ht>1.5m)",85,NA,NA,4,NA,NA
371,117,"Halimium spp.",NA,NA,1,NA,NA,1
371,121,"Rubus spp.",NA,NA,1,NA,NA,9
371,155,"Genista spp.",NA,NA,3,NA,NA,2
371,1103,"Ulex spp.",NA,50,1,NA,4,3
371,3155,"Genista scorpius",NA,15,NA,NA,3,NA
382,102,"Erica spp.",20,NA,NA,10,NA,NA
382,106,"Calluna vulgaris",10,10,6,5,5,4
382,117,"Halimium spp.",10,5,7,4,3,2
382,1102,"Erica arborea",NA,NA,3,NA,NA,16
382,2102,"Erica australis",NA,20,8,NA,12,1
384,102,"Erica spp.",75,NA,NA,8,NA,NA
384,106,"Calluna vulgaris",NA,5,8,NA,3,3
384,107,"Arctostaphylos uva-ursi",NA,5,3,NA,1,1
384,117,"Halimium spp.",NA,5,5,NA,2,3
384,136,"Chamaespartium tridentatum",NA,2,5,NA,4,3
384,2102,"Erica australis",NA,20,35,NA,7,14
386,102,"Erica spp.",40,15,6,8,1,3
386,106,"Calluna vulgaris",40,40,5,6,4,3
386,107,"Arctostaphylos uva-ursi",10,NA,NA,1,NA,NA
386,117,"Halimium spp.",10,5,NA,4,2,NA
386,136,"Chamaespartium tridentatum",NA,10,2,NA,3,2
386,2102,"Erica australis",NA,30,12,NA,13,7
386,8101,"Cistus laurifolius",NA,NA,2,NA,NA,2
398,102,"Erica spp.",20,25,15,4,1,2
398,106,"Calluna vulgaris",30,5,6,4,3,4
398,107,"Arctostaphylos uva-ursi",15,NA,2,1,NA,1
398,117,"Halimium spp.",10,NA,7,3,NA,2
398,119,"Rosa spp.",5,5,NA,15,15,NA
402,101,"Cistus spp.",5,NA,NA,4,NA,NA
402,102,"Erica spp.",10,30,20,2,1,1
402,106,"Calluna vulgaris",60,15,6,6,4,3
402,107,"Arctostaphylos uva-ursi",30,15,3,1,1,1
402,117,"Halimium spp.",NA,NA,4,NA,NA,2
402,2102,"Erica australis",NA,5,NA,NA,4,NA
402,8101,"Cistus laurifolius",NA,NA,3,NA,NA,3
404,106,"Calluna vulgaris",30,15,24,4,6,5
404,117,"Halimium spp.",1,NA,NA,2,NA,NA
404,2101,"Cistus populifolius",NA,2,NA,NA,7,NA
404,8101,"Cistus laurifolius",NA,NA,8,NA,NA,6
407,102,"Erica spp.",NA,3,NA,NA,1,NA
407,106,"Calluna vulgaris",5,5,3,6,3,2
407,129,"Thymus spp.",1,NA,NA,1,NA,NA
407,3121,"Rubus ulmifolius",NA,5,NA,NA,20,NA
407,8101,"Cistus laurifolius",NA,NA,2,NA,NA,3
411,101,"Cistus spp.",5,NA,NA,2,NA,NA
411,106,"Calluna vulgaris",20,25,35,5,5,4
412,101,"Cistus spp.",10,NA,NA,3,NA,NA
412,106,"Calluna vulgaris",60,70,65,7,5,4
412,117,"Halimium spp.",5,NA,NA,4,NA,NA
418,102,"Erica spp.",NA,30,20,NA,1,2
418,106,"Calluna vulgaris",90,25,8,5,6,4
418,107,"Arctostaphylos uva-ursi",NA,2,10,NA,1,1
418,117,"Halimium spp.",10,NA,26,2,NA,3
418,119,"Rosa spp.",NA,NA,1,NA,NA,10
418,136,"Chamaespartium tridentatum",NA,NA,2,NA,NA,3
418,2102,"Erica australis",NA,70,52,NA,13,10
424,102,"Erica spp.",30,NA,NA,5,NA,NA
424,106,"Calluna vulgaris",30,20,9,1,5,4
424,107,"Arctostaphylos uva-ursi",30,30,17,1,2,2
424,117,"Halimium spp.",10,NA,NA,2,NA,NA
424,136,"Chamaespartium tridentatum",NA,10,12,NA,4,4
424,2102,"Erica australis",NA,10,15,NA,10,10
424,5102,"Erica umbellata",NA,10,60,NA,2,2
431,102,"Erica spp.",30,NA,NA,5,NA,NA
431,106,"Calluna vulgaris",30,20,18,2,5,4
431,107,"Arctostaphylos uva-ursi",30,NA,NA,1,NA,NA
431,137,"Vaccinium myrtillus",NA,20,20,NA,2,2
431,5102,"Erica umbellata",NA,40,22,NA,2,2
436,102,"Erica spp.",NA,2,NA,NA,1,NA
436,106,"Calluna vulgaris",60,2,3,3,2,4
436,117,"Halimium spp.",NA,3,2,NA,1,2
436,119,"Rosa spp.",NA,2,NA,NA,2,NA
436,136,"Chamaespartium tridentatum",NA,NA,3,NA,NA,3
436,2102,"Erica australis",NA,15,8,NA,11,12
436,5102,"Erica umbellata",NA,NA,12,NA,NA,2
439,106,"Calluna vulgaris",5,NA,NA,1,NA,NA
439,117,"Halimium spp.",NA,NA,2,NA,NA,1
439,119,"Rosa spp.",1,5,2,20,1,5
439,144,"Lonicera spp.",NA,NA,1,NA,NA,3
439,5102,"Erica umbellata",NA,30,25,NA,2,2
452,102,"Erica spp.",30,20,NA,7,1,NA
452,106,"Calluna vulgaris",20,5,3,1,2,2
452,5102,"Erica umbellata",NA,NA,25,NA,NA,2
453,119,"Rosa spp.",2,20,5,25,15,10
453,128,"Helichrysum stoechas",1,5,NA,2,2,NA
453,144,"Lonicera spp.",NA,10,7,NA,5,7
453,154,"Dorycnium pentaphyllum",NA,10,1,NA,5,3
453,179,"Teucrium fruticans",NA,NA,2,NA,NA,1
453,2950,NA,NA,NA,10,NA,NA,6
454,101,"Cistus spp.",40,NA,NA,13,NA,NA
454,102,"Erica spp.",30,NA,NA,4,NA,NA
454,106,"Calluna vulgaris",10,10,30,1,15,4
454,107,"Arctostaphylos uva-ursi",NA,NA,6,NA,NA,1
454,119,"Rosa spp.",NA,2,2,NA,5,4
454,142,"Helianthemum spp.",NA,2,2,NA,2,1
454,2109,"Lavandula stoechas",NA,2,2,NA,2,3
454,5102,"Erica umbellata",NA,25,17,NA,5,1
454,8101,"Cistus laurifolius",NA,NA,5,NA,NA,16
458,106,"Calluna vulgaris",NA,7,6,NA,5,4
461,102,"Erica spp.",NA,15,24,NA,2,2
461,106,"Calluna vulgaris",60,40,28,3,4,4
461,107,"Arctostaphylos uva-ursi",20,5,NA,1,2,NA
461,136,"Chamaespartium tridentatum",NA,10,4,NA,3,2
465,102,"Erica spp.",NA,NA,3,NA,NA,1
465,106,"Calluna vulgaris",10,2,2,5,2,1
465,119,"Rosa spp.",NA,5,3,NA,15,16
472,106,"Calluna vulgaris",20,10,6,3,3,3
472,117,"Halimium spp.",NA,NA,5,NA,NA,3
472,4104,"Cytisus spp.",NA,5,6,NA,4,4
475,102,"Erica spp.",NA,15,6,NA,1,1
475,106,"Calluna vulgaris",30,5,14,4,2,2
475,4104,"Cytisus spp.",NA,2,3,NA,5,4
478,106,"Calluna vulgaris",10,5,4,1,4,4
478,136,"Chamaespartium tridentatum",NA,5,6,NA,2,3
478,5102,"Erica umbellata",NA,30,28,NA,2,2
479,106,"Calluna vulgaris",30,5,10,4,5,4
479,107,"Arctostaphylos uva-ursi",10,NA,4,1,NA,1
479,5102,"Erica umbellata",NA,30,38,NA,2,2
486,101,"Cistus spp.",5,NA,NA,10,NA,NA
486,106,"Calluna vulgaris",10,10,8,3,4,4
486,5102,"Erica umbellata",NA,10,6,NA,3,2
486,8101,"Cistus laurifolius",NA,NA,5,NA,NA,8
490,101,"Cistus spp.",1,NA,NA,10,NA,NA
490,102,"Erica spp.",5,NA,NA,2,NA,NA
490,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,3,NA,NA
490,106,"Calluna vulgaris",5,30,10,6,3,4
490,112,"Ligustrum vulgare",20,5,8,10,10,9
490,117,"Halimium spp.",1,NA,NA,1,NA,NA
490,119,"Rosa spp.",20,20,8,30,16,17
490,1110,"Daphne gnidium",NA,5,3,NA,2,2
490,3144,"Lonicera periclymenum",NA,15,8,NA,12,10
490,8101,"Cistus laurifolius",NA,3,NA,NA,7,NA
495,102,"Erica spp.",10,25,15,1,1,1
495,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,6,NA,NA
495,106,"Calluna vulgaris",10,5,7,4,2,3
495,4104,"Cytisus spp.",NA,2,4,NA,2,16
499,102,"Erica spp.",20,35,NA,3,1,NA
499,106,"Calluna vulgaris",40,20,20,7,3,4
499,127,"Santolina rosmarinifolia",1,NA,NA,4,NA,NA
499,129,"Thymus spp.",5,NA,NA,1,NA,NA
499,5102,"Erica umbellata",NA,NA,35,NA,NA,1
504,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,5,NA,NA
504,104,"Other papilionoid shrubs (Ht<1.5m)",10,NA,NA,3,NA,NA
504,106,"Calluna vulgaris",1,2,5,4,2,3
508,101,"Cistus spp.",50,15,NA,12,5,NA
508,102,"Erica spp.",10,5,12,3,5,1
508,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,2,NA,NA
508,106,"Calluna vulgaris",10,NA,NA,7,NA,NA
508,119,"Rosa spp.",1,NA,NA,4,NA,NA
508,8101,"Cistus laurifolius",NA,NA,3,NA,NA,3
514,101,"Cistus spp.",60,NA,NA,17,NA,NA
514,102,"Erica spp.",5,3,3,2,6,1
514,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,2,NA,NA
514,106,"Calluna vulgaris",10,5,3,6,5,2
514,119,"Rosa spp.",NA,NA,3,NA,NA,3
514,127,"Santolina rosmarinifolia",5,NA,NA,3,NA,NA
514,2128,NA,NA,NA,2,NA,NA,1
514,8101,"Cistus laurifolius",NA,60,23,NA,16,5
527,102,"Erica spp.",15,15,20,2,2,2
527,106,"Calluna vulgaris",5,5,NA,3,3,NA
527,119,"Rosa spp.",1,NA,NA,2,NA,NA
527,5102,"Erica umbellata",NA,NA,15,NA,NA,2
528,102,"Erica spp.",10,NA,15,2,NA,3
528,106,"Calluna vulgaris",15,10,25,3,4,4
528,119,"Rosa spp.",5,3,4,4,10,15
528,5101,"Cistus monspeliensis",NA,10,NA,NA,3,NA
530,101,"Cistus spp.",10,NA,NA,9,NA,NA
530,102,"Erica spp.",40,NA,6,2,NA,2
530,104,"Other papilionoid shrubs (Ht<1.5m)",5,NA,NA,2,NA,NA
530,106,"Calluna vulgaris",10,1,NA,4,2,NA
530,117,"Halimium spp.",NA,NA,4,NA,NA,2
530,6102,"Erica scoparia",NA,5,NA,NA,3,NA
530,8101,"Cistus laurifolius",NA,1,2,NA,2,4
532,106,"Calluna vulgaris",70,20,20,4,5,5
532,107,"Arctostaphylos uva-ursi",30,40,20,1,2,1
532,117,"Halimium spp.",NA,NA,2,NA,NA,2
532,136,"Chamaespartium tridentatum",NA,3,NA,NA,3,NA
532,5102,"Erica umbellata",NA,10,20,NA,2,2
532,6102,"Erica scoparia",NA,5,NA,NA,3,NA
534,101,"Cistus spp.",55,NA,NA,9,NA,NA
534,102,"Erica spp.",10,20,14,2,5,2
534,106,"Calluna vulgaris",20,NA,4,3,NA,2
534,107,"Arctostaphylos uva-ursi",10,NA,NA,1,NA,NA
534,8101,"Cistus laurifolius",NA,NA,8,NA,NA,11
536,102,"Erica spp.",35,NA,10,2,NA,1
536,106,"Calluna vulgaris",70,20,25,4,5,3
536,136,"Chamaespartium tridentatum",NA,1,NA,NA,3,NA
536,155,"Genista spp.",NA,1,NA,NA,3,NA
536,2156,NA,NA,NA,1,NA,NA,3
536,5102,"Erica umbellata",NA,10,30,NA,3,2
537,102,"Erica spp.",30,NA,40,2,NA,2
537,106,"Calluna vulgaris",25,30,20,4,4,3
537,155,"Genista spp.",NA,2,NA,NA,4,NA
537,2156,NA,NA,NA,2,NA,NA,3
537,5102,"Erica umbellata",NA,60,NA,NA,1,NA
539,101,"Cistus spp.",55,NA,NA,10,NA,NA
539,102,"Erica spp.",15,NA,NA,2,NA,NA
539,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,3,NA,NA
539,106,"Calluna vulgaris",25,15,12,4,4,4
539,107,"Arctostaphylos uva-ursi",10,NA,NA,1,NA,NA
539,136,"Chamaespartium tridentatum",NA,10,NA,NA,2,NA
539,5102,"Erica umbellata",NA,15,12,NA,2,2
539,8101,"Cistus laurifolius",NA,1,7,NA,5,10
542,102,"Erica spp.",60,NA,NA,2,NA,NA
542,103,"Other papilionoid shrubs (Ht>1.5m)",10,NA,NA,5,NA,NA
542,106,"Calluna vulgaris",50,40,18,4,3,4
542,136,"Chamaespartium tridentatum",NA,NA,7,NA,NA,3
542,5102,"Erica umbellata",NA,15,30,NA,2,2
549,102,"Erica spp.",NA,20,5,NA,5,3
549,103,"Other papilionoid shrubs (Ht>1.5m)",50,NA,NA,2,NA,NA
549,106,"Calluna vulgaris",30,15,20,4,5,3
549,5102,"Erica umbellata",NA,NA,35,NA,NA,3
553,101,"Cistus spp.",30,NA,NA,12,NA,NA
553,102,"Erica spp.",NA,NA,2,NA,NA,1
553,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,5,NA,NA
553,106,"Calluna vulgaris",20,5,4,5,3,3
553,119,"Rosa spp.",NA,NA,3,NA,NA,14
553,121,"Rubus spp.",NA,15,7,NA,12,12
553,129,"Thymus spp.",20,NA,NA,15,NA,NA
553,8101,"Cistus laurifolius",NA,15,10,NA,15,1
555,101,"Cistus spp.",70,NA,NA,10,NA,NA
555,102,"Erica spp.",NA,NA,4,NA,NA,1
555,103,"Other papilionoid shrubs (Ht>1.5m)",35,70,NA,8,10,NA
555,109,"Lavandula spp.",NA,2,4,NA,4,3
555,119,"Rosa spp.",5,2,3,19,19,17
555,129,"Thymus spp.",NA,5,NA,NA,2,NA
555,144,"Lonicera spp.",NA,NA,16,NA,NA,10
555,155,"Genista spp.",NA,NA,6,NA,NA,9
555,8101,"Cistus laurifolius",NA,25,14,NA,16,13
557,101,"Cistus spp.",30,NA,NA,10,NA,NA
557,103,"Other papilionoid shrubs (Ht>1.5m)",20,NA,NA,6,NA,NA
557,106,"Calluna vulgaris",10,10,5,4,5,4
557,109,"Lavandula spp.",NA,5,11,NA,4,3
557,117,"Halimium spp.",NA,NA,2,NA,NA,2
557,119,"Rosa spp.",NA,2,3,NA,12,9
557,129,"Thymus spp.",60,8,5,1,2,1
557,144,"Lonicera spp.",NA,NA,3,NA,NA,4
557,1103,"Ulex spp.",NA,10,8,NA,5,10
557,4104,"Cytisus spp.",NA,NA,10,NA,NA,14
557,8101,"Cistus laurifolius",NA,10,55,NA,10,11
576,109,"Lavandula spp.",NA,NA,6,NA,NA,1
578,119,"Rosa spp.",NA,3,NA,NA,13,NA
581,106,"Calluna vulgaris",5,5,NA,4,5,NA
581,126,"Artemisia spp.",NA,NA,5,NA,NA,3
599,103,"Other papilionoid shrubs (Ht>1.5m)",4,NA,NA,3,NA,NA
599,106,"Calluna vulgaris",2,NA,NA,2,NA,NA
599,109,"Lavandula spp.",NA,5,NA,NA,4,NA
599,119,"Rosa spp.",4,3,NA,2,8,NA
599,129,"Thymus spp.",NA,15,NA,NA,2,NA
599,4104,"Cytisus spp.",NA,5,2,NA,5,5
602,102,"Erica spp.",10,NA,NA,3,NA,NA
602,119,"Rosa spp.",NA,NA,2,NA,NA,2
602,129,"Thymus spp.",NA,10,NA,NA,2,NA
623,106,"Calluna vulgaris",NA,1,3,NA,3,8
623,109,"Lavandula spp.",NA,NA,4,NA,NA,3
623,129,"Thymus spp.",NA,NA,4,NA,NA,2
623,4101,"Cistus clusii",NA,NA,1,NA,NA,3
627,2103,"Adenocarpus spp.",NA,NA,3,NA,NA,4
