"ID","Estadillo","Especie","CD","CoorX","CoorY","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
"61",90,43,20,372951,4747849,0,0,0,31.831,0.926406,4.29853,31.8310155048877,0.93605625,6.29862997738858,"Q. pyrenaica"
"62",90,43,25,372951,4747849,0,0,0,0,0,0,42.4413540065169,1.86509722222222,11.2190034160868,"Q. pyrenaica"
"63",90,71,10,372951,4747849,509.29,2.8886505,12.9416824,381.972,3.53713,16.3923,0,0,0,"Fagus sylvatica"
"64",90,71,15,372951,4747849,0,0,0,127.324,2.10437,10.386,63.6620310097753,1.21360625,6.78245724093905,"Fagus sylvatica"
"65",90,71,20,372951,4747849,0,0,0,0,0,0,63.6620310097753,1.81065625,11.7489340752942,"Fagus sylvatica"
"66",90,71,25,372951,4747849,0,0,0,0,0,0,42.4413540065169,1.98547777777778,13.5454680197503,"Fagus sylvatica"
"67",90,71,30,372951,4747849,0,0,0,0,0,0,14.1471180021723,0.931225,6.16805064550163,"Fagus sylvatica"
"68",94,21,10,358890,4746728,1527.88,10.2799487,21.6081305,509.296,4.86283,12.0603,0,0,0,"P. sylvestris"
"69",94,21,15,358890,4746728,63.66,0.8564289,2.1793062,1082.25,18.8899,68.7967,636.620310097753,11.9225625,65.7422906278939,"P. sylvestris"
"70",94,21,20,358890,4746728,0,0,0,254.648,6.79007,27.3361,827.606403127079,25.91006875,144.792660814032,"P. sylvestris"
"71",94,21,25,358890,4746728,0,0,0,0,0,0,183.91253402824,8.51993611111111,47.0178554691531,"P. sylvestris"
"72",109,43,10,363930,4745778,636.62,6.0857943,16.756475,636.62,5.28578,19.294,381.972186058652,3.25305,11.9420646792774,"Q. pyrenaica"
"73",109,43,15,363930,4745778,381.97,6.4050019,23.9819337,541.127,10.0476,40.95,381.972186058652,6.5739625,30.8197484633254,"Q. pyrenaica"
"74",109,43,20,363930,4745778,159.15,4.3188396,16.1183685,159.155,4.599,19.7416,445.634217068427,13.59156875,56.1405562402898,"Q. pyrenaica"
"75",109,43,25,363930,4745778,0,0,0,28.2942,1.205,5.17348,28.2942360043446,1.33024722222222,7.37539717781629,"Q. pyrenaica"
"76",109,43,30,363930,4745778,0,0,0,0,0,0,28.2942360043446,1.93397777777778,11.2374198990834,"Q. pyrenaica"
"77",111,21,15,348850,4744750,190.98,3.6269673,21.9739228,63.662,1.22693,8.47515,0,0,0,"P. sylvestris"
"78",111,21,20,348850,4744750,700.28,22.4000412,140.3473639,190.986,6.83358,46.5819,0,0,0,"P. sylvestris"
"79",111,21,25,348850,4744750,424.41,19.9883811,129.7851509,396.119,18.9594,137.618,113.176944017378,6.27251111111111,49.9645507838458,"P. sylvestris"
"80",111,21,30,348850,4744750,56.58,3.824299,23.1864675,254.648,17.2514,120.406,183.91253402824,12.8315111111111,103.493069798455,"P. sylvestris"
"81",111,21,35,348850,4744750,0,0,0,42.4414,3.91319,25.8589,169.765416026067,16.7018888888889,126.96131440989,"P. sylvestris"
"82",111,21,40,348850,4744750,0,0,0,14.1471,1.6684,10.9707,28.2942360043446,3.23003611111111,22.9114779361615,"P. sylvestris"
"83",111,21,45,348850,4744750,0,0,0,0,0,0,20.3718499231281,3.085362,22.014530513058,"P. sylvestris"
"84",113,43,10,363902,4743810,127.32,0.8835903,4.1167032,381.972,2.90575,6.4088,0,0,0,"Q. pyrenaica"
"85",113,43,15,363902,4743810,31.83,0.4455544,1.8480187,159.155,2.65789,10.2684,254.648124039101,4.70009375,21.3047787352049,"Q. pyrenaica"
"86",113,43,20,363902,4743810,31.83,0.9024979,3.0538756,31.831,1,3.6452,95.493046514663,3.1383125,14.9746429747836,"Q. pyrenaica"
"87",113,43,25,363902,4743810,14.14,0.6346726,2.7686626,56.5885,2.62689,10.0242,70.7355900108615,3.57963333333333,18.8697565787752,"Q. pyrenaica"
"88",113,43,30,363902,4743810,0,0,0,14.1471,0.970225,4.13585,28.2942360043446,2.12320277777778,10.8691152356265,"Q. pyrenaica"
"89",113,43,35,363902,4743810,0,0,0,0,0,0,28.2942360043446,2.5546,11.4915640426669,"Q. pyrenaica"
"90",113,43,45,363902,4743810,10.18,1.5209801,8.5340925,0,0,0,0,0,0,"Q. pyrenaica"
"91",113,43,50,363902,4743810,0,0,0,5.09296,1.00802,5.85831,0,0,0,"Q. pyrenaica"
"92",113,43,55,363902,4743810,0,0,0,5.09296,1.15348,6.6547,10.1859249615641,2.35985,16.0009747812544,"Q. pyrenaica"
"93",123,42,10,381873,4757828,381.97,2.7803359,9.5802015,0,0,0,0,0,0,"Q. petraea"
"94",123,42,15,381873,4757828,350.14,5.8627736,24.3316991,95.493,1.63603,10.6148,159.155077524438,2.684725,17.2960751248591,"Q. petraea"
"95",123,42,20,381873,4757828,190.98,6.4976843,31.958082,222.817,6.51896,42.3105,127.324062019551,4.36400625,32.8599180701415,"Q. petraea"
"96",123,42,25,381873,4757828,183.91,8.7510611,43.072556,240.501,11.2947,75.7914,198.059652030412,9.13748333333333,74.005098327162,"Q. petraea"
"97",123,42,30,381873,4757828,84.88,5.9631132,28.2084771,141.471,9.8028,64.3916,212.206770032584,14.6815388888889,114.089117515181,"Q. petraea"
"98",123,42,35,381873,4757828,0,0,0,28.2942,2.87631,17.5152,84.8827080130337,7.46235277777778,57.9655022414792,"Q. petraea"
"99",123,42,40,381873,4757828,0,0,0,0,0,0,28.2942360043446,3.59342222222222,28.6007217548384,"Q. petraea"
"100",123,42,45,381873,4757828,0,0,0,0,0,0,5.09296248078203,0.8836,6.54635872806564,"Q. petraea"
"101",123,42,50,381873,4757828,5.09,1.0567924,3.9845345,0,0,0,0,0,0,"Q. petraea"
"102",123,42,55,381873,4757828,0,0,0,5.09296,1.1449,5.239,5.09296248078203,1.153476,5.58413358176962,"Q. petraea"
"103",123,42,60,381873,4757828,5.09,1.4762371,4.369714,0,0,0,0,0,0,"Q. petraea"
"104",123,42,65,381873,4757828,0,0,0,5.09296,1.62308,7.36794,5.09296248078203,1.700416,10.1260635314733,"Q. petraea"
"105",123,43,10,381873,4757828,127.32,1.1024985,5.2390515,0,0,0,0,0,0,"Q. pyrenaica"
"106",123,43,15,381873,4757828,31.83,0.4323063,1.5226008,0,0,0,0,0,0,"Q. pyrenaica"
"107",123,71,15,381873,4757828,0,0,0,31.831,0.6084,3.71667,31.8310155048877,0.40640625,2.68658567350712,"Fagus sylvatica"
