"ID","Estadillo","CoorX","CoorY","Fecha2","FRACCION2","FRACCION3","Fecha3","FRACCION4","Fecha4","IFN2Num_arb","IFN3Num_arb","IFN4Num_arb","IFN2_muert","IFN3_muert","IFN4_muert","N_IFN2","N_IFN3","N_IFN4","Ho_IFN2","Ho_IFN3","Ho_IFN4","HartIFN2","HartIFN3","HartIFN4","H_shannon2","H_shannon3","H_shannon4","SDIR_IFN2","SDIR_IFN3","SDIR_IFN4","max_abIFN2","n_especies_10IFN2","especie_dominanteIFN2","ComposicionIFN2","max_abIFN3","n_especies_10IFN3","especie_dominanteIFN3","ComposicionIFN3","max_abIFN4","n_especies_10IFN4","especie_dominanteIFN4","ComposicionIFN4","nCD_IFN2","FormaIFN2","nCD_IFN3","FormaIFN3","nCD_IFN4","FormaIFN4"
"21",172,375895,4747785,91,85,90,"04/22/03 00:00:00",95,"2019-07-30T22:00:00Z",34,43,23,0,3,0,2323.65,1969.9832,608.326074093409,11.6140846016433,15,16.4926446508049,18.4922108364548,15.5502243014682,25.4507544287999,0,0,0,0.960412627719807,1.03336977119799,0.517460772530064,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",3,"Irregular",4,"Irregular",4,"Irregular"
"22",173,376880,4747795,91,90,90,"04/22/03 00:00:00",95,"2019-09-05T22:00:00Z",1,5,14,0,0,0,14.14,236.9641,1260.64968517358,12,8.48231611743424,9.20343189718733,229.431596594998,79.2872667430336,31.6819690426648,0,0.226145255943991,0.0789767112990021,0.0146384945324105,0.105296852004466,0.504209292230758,100,1,42,"pura",70.0289131444112,2,43,"mixta",84.0820429591182,2,43,"mixta",1,"Regular",3,"Irregular",5,"Irregular"
"23",174,379899,4747817,91,50,75,"05/21/03 00:00:00",80,"2019-03-18T23:00:00Z",7,9,17,0,0,0,80.91,240.07652,658.972756541186,6.8951048951049,7.63379035115706,8.5528712788526,166.923391526302,87.5274157095927,47.1534541837743,0,0,0,0.199795714502969,0.526749041231745,1.2390274823698,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",3,"Irregular",6,"Irregular",8,"Irregular"
"24",175,381914,4747807,91,20,45,"2006-11-03 00:00",45,"2019-03-18T23:00:00Z",1,1,2,0,0,0,14.14,14.1471,28.2942360043446,4,5,6.09999990463257,688.294789784993,550.497640783691,319.065879708511,0,0,0,0.0146560946647233,0.0181369831258444,0.0355239921203531,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",1,"Regular",1,"Regular",2,"Regular"
"25",181,398898,4746779,91,80,80,"2004-03-03 00:00",80,"2019-04-03T22:00:00Z",16,18,24,0,0,1,314.76,343.0675,431.487099066254,11.1657275013189,12.6366197723676,14.1920812986921,52.2615619101883,44.2321929280871,35.1179519364259,0,0,0,0.325971069896758,0.411582528950217,0.53055810824607,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",4,"Irregular",5,"Irregular",6,"Irregular"
"26",184,377874,4745777,91,70,60,"06/13/03 00:00:00",85,"2019-06-02T22:00:00Z",4,12,19,0,0,0,413.8,859.437,1464.22671322484,5.63661977236758,10.0464790894703,11.9236623077603,90.2911522314224,35.1510473860461,22.6905669524342,0,0,0,0.131593654598812,0.338298618148171,0.652560572251551,100,1,43,"pura",100,1,43,"pura",100,1,43,"pura",2,"Regular",3,"Irregular",3,"Irregular"
"27",190,381869,4743777,91,70,75,"2006-06-03 00:00",75,"2019-03-17T23:00:00Z",20,28,36,0,0,7,1938.13,2256.4642,1556.18298023895,6.54507034144863,7.40187801085407,7.52600951458503,35.9296848387038,29.4444218369902,34.8709745173963,0,0,0,0.853528939839778,1.18944641369759,0.933467962911407,100,1,43,"pura",100,1,44,"pura",100,1,44,"pura",5,"Irregular",5,"Irregular",5,"Irregular"
"28",193,345924,4743793,91,90,90,"2006-11-03 00:00",90,"2019-09-11T22:00:00Z",61,46,57,2,1,1,2685.94,1333.3653,1224.85747662808,11.7372646232609,12.7025040144721,16.1215861404678,17.0193954189638,22.320055128985,18.3488407422331,0.955336067382699,0.722148310186487,0.614813479937973,1.59505677802768,1.04588277133859,1.29297905652767,69.3117466952749,2,43,"mixta",73.0543583842236,2,43,"mixta",74.4920083261797,2,43,"mixta",5,"Irregular",5,"Irregular",7,"Irregular"
"29",194,346920,4743814,91,90,100,"2006-11-03 00:00",100,"2019-08-25T22:00:00Z",28,29,31,0,0,0,620.3,580.59744,441.814495207841,17.1083255602624,17.8310422816311,19.4063887249334,24.2968952613605,24.0959964207723,25.3801667786591,0.871833677006503,0.873370432343614,0.844414474263258,0.532498652422675,0.544608096753806,0.459482576468056,57.1921771469686,3,42,"mixta",49.6939467130124,3,42,"mixta",65.5199684371509,3,42,"mixta",10,"Irregular",10,"Irregular",12,"Irregular"
"30",200,345856,4735793,91,90,90,"04/24/03 00:00:00",70,"2019-07-07T22:00:00Z",28,46,30,0,0,0,986.75,986.7612,442.097437567884,9.79577471545948,13.3488263631568,16.9379967847211,33.644712535372,24.6893730582793,29.0695382387894,0,0,0,0.447045635506571,0.704908738630175,0.467400562537721,100,1,21,"pura",100,1,21,"pura",100,1,21,"pura",3,"Irregular",4,"Irregular",4,"Irregular"
