"ID","Estadillo","CoorX","CoorY","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"58",168,398912,4749759,5,NA,NA,NA,1.85917165082684,319.157096240081,0.582525556451455,NA,NA,NA
"59",172,375895,4747785,2,76.2837178321503,102.794415756285,74.2099823914668,134.938471260938,148.91833270154,90.6123972871623,109.864291597934,114.829962104151,95.6756316772851
"60",172,375895,4747785,3,26.5106979241348,102.794415756285,25.7900176085332,13.9798614406025,148.91833270154,9.38760271283771,4.96567050621748,114.829962104151,4.32436832271493
"61",173,376880,4747795,2,3.53519008073057,3.53519008073057,100,11.2973298444308,11.2973298444308,100,18.2105329645953,42.1786149327654,43.1748007695931
"62",173,376880,4747795,3,NA,NA,NA,NA,NA,NA,12.0939410687009,42.1786149327654,28.6731583955024
"63",173,376880,4747795,4,NA,NA,NA,NA,NA,NA,4.68879685654224,42.1786149327654,11.1165263819506
"64",173,376880,4747795,5,NA,NA,NA,NA,NA,NA,7.18534404292701,42.1786149327654,17.0355144529539
"65",174,379899,4747817,2,4.05932979803344,18.9558823437451,21.4146180294947,14.4994804017831,25.1177611807286,57.7260063007038,22.1183008645453,42.0027577962698,52.6591634097644
"66",174,379899,4747817,3,2.95932871091814,18.9558823437451,15.6116642699812,4.47945477786304,25.1177611807286,17.8338138723122,9.87617438348004,42.0027577962698,23.5131569964607
"67",174,379899,4747817,4,6.78403703084309,18.9558823437451,35.7885584422907,2.24569746768572,25.1177611807286,8.94067529158893,10.0082825482445,42.0027577962698,23.8276795937749
"68",174,379899,4747817,5,5.15318680395047,18.9558823437451,27.1851592582334,3.89312853339674,25.1177611807286,15.4995045353951,NA,NA,NA
"69",175,381914,4747807,3,1.6248717282336,1.6248717282336,100,2.09439416845303,2.09439416845303,100,4.27064099645583,4.27064099645583,100
"70",181,398898,4746779,2,29.7484783199899,54.0816086771475,55.0066446757904,56.8775167858603,73.710022618926,77.1638845912608,59.9970288660551,98.0136420716615,61.2129368911616
"71",181,398898,4746779,3,24.3331303571575,54.0816086771475,44.9933553242096,11.5728844881734,73.710022618926,15.7005575049192,26.0123672923123,98.0136420716615,26.5395374995795
"72",181,398898,4746779,4,NA,NA,NA,5.25962134489232,73.710022618926,7.13555790382004,8.51965855312815,98.0136420716615,8.69231912318808
"73",181,398898,4746779,5,NA,NA,NA,NA,NA,NA,3.48458736016592,98.0136420716615,3.5552064860708
"74",184,377874,4745777,2,4.34115635724324,10.9876617137351,39.509373971867,26.3044866448781,26.3044866448781,100,37.5647484429075,58.8211388893002,63.8626676603513
"75",184,377874,4745777,3,6.64650535649185,10.9876617137351,60.4906260281331,NA,NA,NA,21.2563904463928,58.8211388893002,36.1373323396487
"76",190,381869,4743777,2,11.4183427756016,50.7083110363609,22.5176949147723,17.434873339614,84.2211427477706,20.7013022749273,30.0725488431816,74.7175929612371,40.248283772716
"77",190,381869,4743777,3,39.2899682607594,50.7083110363609,77.4823050852277,50.5497517978423,84.2211427477706,60.0202634975295,37.8966027464717,74.7175929612371,50.7197853203491
"78",190,381869,4743777,4,NA,NA,NA,6.33389705113649,84.2211427477706,7.52055463092627,6.74844137158381,74.7175929612371,9.03193090693493
"79",190,381869,4743777,5,NA,NA,NA,9.90262055917773,84.2211427477706,11.7578795966169,NA,NA,NA
"80",193,345924,4743793,2,92.2858204812637,209.60898625275,44.0276068937158,157.271105961666,186.190898498729,84.4676658363833,211.126652563787,258.12410699777,81.7926907406641
"81",193,345924,4743793,3,105.285375986619,209.60898625275,50.229419009576,28.9197925370629,186.190898498729,15.5323341636167,43.5307455572975,258.12410699777,16.8642696970855
