"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Quality","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
95,42.860863,-4.714969,"A","4C","A","1",5,NA,NA,NA,NA,NA,NA,3.0705951510873,72.085881593692,4.25963459584851
96,42.861046,-4.702734,"A","4",NA,NA,2,1.64254644347465,1.64254644347465,100,22.9775269933597,22.9775269933597,100,NA,NA,NA
100,42.86246,-4.604846,"A","4","A","4",2,145.966531766551,168.593296575221,86.579083944435,131.299933906593,141.047834286749,93.0889400539548,236.981284204258,256.339056334689,92.448371930824
100,42.86246,-4.604846,"A","4","A","4",3,12.1719641209777,168.593296575221,7.21972010052427,9.74790038015568,141.047834286749,6.91105994604519,15.2813806926053,256.339056334689,5.96139383171215
100,42.86246,-4.604846,"A","4","A","4",4,7.50529154703031,168.593296575221,4.45171409509849,NA,NA,NA,NA,NA,NA
100,42.86246,-4.604846,"A","4","A","4",5,2.9495091406621,168.593296575221,1.74948185994223,NA,NA,NA,4.07639143782599,256.339056334689,1.59023423746386
102,42.86262983,-4.56755122,"A","1","A","1",2,124.861424876935,148.444406125425,84.1132570340418,162.891604066466,176.323695573231,92.3821404360331,139.254766459961,215.143086202471,64.7265821635134
102,42.86262983,-4.56755122,"A","1","A","1",3,8.23709126020223,148.444406125425,5.5489401555775,13.4320915067654,176.323695573231,7.61785956396696,71.0487881168662,215.143086202471,33.0239699406386
102,42.86262983,-4.56755122,"A","1","A","1",4,NA,NA,NA,NA,NA,NA,4.83953162564389,215.143086202471,2.24944789584798
102,42.86262983,-4.56755122,"A","1","A","1",5,15.3458899882871,148.444406125425,10.3378028103807,NA,NA,NA,NA,NA,NA
103,42.863136,-4.555899,"A","3E","A","1",2,39.0087347012669,52.4103253473015,74.4294839667035,178.349072023774,206.16802447988,86.5066600282523,230.552160190172,258.240290249915,89.2781525171973
103,42.863136,-4.555899,"A","3E","A","1",3,13.4015906460346,52.4103253473015,25.5705160332965,15.3850043580404,206.16802447988,7.46236202090681,13.4473399780267,258.240290249915,5.2072974224947
103,42.863136,-4.555899,"A","3E","A","1",4,NA,NA,NA,12.4339480980657,206.16802447988,6.03097795084085,7.38916333499409,258.240290249915,2.86135185483379
103,42.863136,-4.555899,"A","3E","A","1",5,NA,NA,NA,NA,NA,NA,6.85162674672219,258.240290249915,2.65319820547423
104,42.863302,-4.543662,"A","4","A","1",2,33.2414488398647,65.7241820431633,50.5771967128232,99.2126531318659,99.2126531318659,100,121.462926763435,136.862539743367,88.748116899768
104,42.863302,-4.543662,"A","4","A","1",3,32.4827332032986,65.7241820431633,49.4228032871768,NA,NA,NA,15.3996129799322,136.862539743367,11.251883100232
105,42.849767,-4.849284,"A","1",NA,NA,2,NA,NA,NA,17.2950156150621,17.2950156150621,100,NA,NA,NA
