"ID","IDmuni","Municipio","IdComarca","Comarca","MUP","tipo_prop","pertenenci","deslindado","amojonado","AreaHa_CO"
"112",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Soto de Abajo","Ayto.","Ayto. de Ayuela","No","No",1.62255900286296
"113",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Mayor","Ayto.","Ayto. de La Puebla de Valdavia","No","No",88.0115482898725
"114",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","El Cerrillo","E.L.M.","E.L.M. de Polvorosa de Valdavia","Sí","Sí",551.577452900571
"115",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Valdemoro","Ayto.","Ayto. de La Puebla de Valdavia","Sí","Sí",152.087312745657
"116",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Roscales","E.L.M.","E.L.M. de Cornoncillo","No","No",69.0075149317071
"117",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Santa María de la Vega","Ayto.","Ayto. de Ayuela","No","No",173.781490714061
"118",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Santa María de la Vega","Ayto.","Ayto. de Tabanera de Valdavia","No","No",139.934691244099
"119",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Rodiles","Ayto.","Ayto. de Buenavista de Valdavia","No","No",1094.13789858128
"120",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Santa María de la Vega","Ayto.","Ayto. de Buenavista de Valdavia","No","No",251.727058467898
"121",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","El Coto y los Paules","Ayto.","Ayto. de Tabanera de Valdavia","Sí","Sí",4.40308019710422
"122",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Santa María de la Vega","E.L.M.","E.L.M. de Cornoncillo","No","No",96.0494769464674
"123",34037,"Buenavista de Valdavia",3403,"SALDAÑA-VALDAVIA","Alto y Agregados","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí",732.827671988365
"124",34038,"Bustillo de la Vega",3403,"SALDAÑA-VALDAVIA",NA,NA,NA,NA,NA,NA
"125",34039,"Bustillo del Páramo de Carrión",3403,"SALDAÑA-VALDAVIA","Matasahagún y Valdeseñor","Aytos.","Ayto. de Bustillo del Páramo de Carrión y Ayto. de Villamoronta","No","No",395.284046589425
"126",34041,"Calahorra de Boedo",3404,"BOEDO-OJEDA","Mayor y Rebollo","Ayto.","Ayto. de Calahorra de Boedo","Sí","Sí",446.273692618534
"127",34042,"Calzada de los Molinos",3402,"CAMPOS",NA,NA,NA,NA,NA,NA
"128",34047,"Carrión de los Condes",3402,"CAMPOS",NA,NA,NA,NA,NA,NA
"129",34049,"Castrejón de la Peña",3406,"CERVERA","Espinar y Bardal","E.L.M.","E.L.M. de Riosmenudos de la Peña","No","No",15.0369514103329
"130",34049,"Castrejón de la Peña",3406,"CERVERA","Matacajista","Ayto.","Ayto. de Castrejón de la Peña","No","No",47.9444230649562
"131",34049,"Castrejón de la Peña",3406,"CERVERA","Hayedo","E.L.M.","E.L.M. de Dehesa de Montejo","No","No",6.85634114030853
"132",34049,"Castrejón de la Peña",3406,"CERVERA","Matavallejo","E.L.M.","E.L.M. de Cubillo de Castrejon","Sí","Sí",117.295903360344
"133",34049,"Castrejón de la Peña",3406,"CERVERA","Peña Redonda y Torras del Quemado","E.L.M.","E.L.M. de Traspeña de la Peña","Sí","Sí",964.925394130079
"134",34049,"Castrejón de la Peña",3406,"CERVERA","La Mata","E.L.M.","E.L.M. de Villanueva de la Peña","No","No",429.372505699579
"135",34049,"Castrejón de la Peña",3406,"CERVERA","Vallejas Hondas y Villalonga","E.L.M.","E.L.M. de Tarilonte de la Peña","No","No",1.12899877460268
"136",34049,"Castrejón de la Peña",3406,"CERVERA","Álvaro","E.L.M.","E.L.M. de Pison de Castrejon","No","No",360.46170142846
"137",34049,"Castrejón de la Peña",3406,"CERVERA","Cabadilla","E.L.M.","E.L.M. de Loma de Castrejon","Sí","Sí",332.228196702912
"138",34049,"Castrejón de la Peña",3406,"CERVERA","La Dehesa y Peña Cantoral","Ayto.","Ayto. de Castrejón de la Peña","No","No",182.923288041212
"139",34049,"Castrejón de la Peña",3406,"CERVERA","Dehesa del Monte","E.L.M.","E.L.M. de San Martin de los Herreros","No","No",9.16412804885544
"140",34049,"Castrejón de la Peña",3406,"CERVERA","Canavigel","Ayto.","Ayto. de Cervera de Pisuerga","No","No",5.25087140949501
