"ID","Estadillo","lng","lat","Municipio","IDmuni","DANOS1N","DANOS2N","DANOS3N"
"114",271,-4.832798,42.705953,"Villalba de Guardo",34214,"","","Se advierten daños en las hojas de pequeña importancia causados por el ganado"
"115",272,-4.771775,42.706913,"Respenda de la Pe�a",34151,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"116",274,-4.747365,42.707288,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"117",277,-4.576483,42.709768,"La Puebla de Valdavia",34140,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"118",279,-4.759316,42.6981,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"119",280,-4.747113,42.698287,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"120",281,-4.734909,42.698472,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"121",283,-4.759062,42.689099,"Ayuela",34020,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"122",284,-4.74686,42.689286,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"123",285,-4.734659,42.689471,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"124",286,-4.722457,42.689655,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"125",288,-4.661447,42.690557,"Congosto de Valdavia",34062,"","","Se advierten daños graves causados por fuego"
"126",289,-4.637042,42.690908,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"127",290,-4.612637,42.691255,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"128",292,-4.758808,42.680098,"Ayuela",34020,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"129",293,-4.746608,42.680284,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"130",294,-4.734408,42.68047,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"131",295,-4.722208,42.680654,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
"132",296,-4.710008,42.680837,"Congosto de Valdavia",34062,"","","Se advierten daños en las hojas de pequeña importancia causados por insectos"
