"ID","IDmuni","Especie","N_IFN2","AB_IFN2","VCC_IFN2","N_IFN3","AB_IFN3","VCC_IFN3","N_IFN4","AB_IFN4","VCC_IFN4","EspecieN"
185,34056,43,96.5034273637073,1.3195448231447,5.20311993953892,167.939473231629,2.69314736662739,11.0307950959926,216.759790319029,3.80297569071123,16.7932315072493,"Q. pyrenaica"
186,34056,44,NA,NA,NA,8.55215589588717,0.0809982603085936,0.313944105551493,7.7638204243803,0.0857206887225468,0.313633611268726,"Q. faginea"
198,34061,21,NA,NA,NA,14.01266427608,0.308931184366615,1.362665889538,2.4723463259977,0.113632019968301,0.63911170819142,"P. sylvestris"
200,34061,25,NA,NA,NA,45.9409018472812,1.02373048953289,4.41882515839828,58.0740887784171,2.2084868163979,12.9973899409772,"P. nigra"
202,34061,26,21.7909551232464,0.574976809484426,2.26687108456058,6.63691741738742,0.373985871836087,1.93893789304622,5.62883131478416,0.57121630442712,3.59478626141202,"P. pinaster"
203,34061,43,99.8877049565765,1.27168811106809,5.14728198721818,128.590099310347,1.84226473777657,7.06182482961106,194.897139099318,2.96560565864276,11.8817298222034,"Q. pyrenaica"
206,34062,21,118.412967892244,1.99400954009024,8.10562863364174,127.487479579729,3.27969616431667,16.397534054828,101.701839686531,4.01646540307996,23.5845406481539,"P. sylvestris"
208,34062,25,71.8748982380729,0.928182492914203,3.00363812675145,40.1372087830224,0.936667147564018,4.49721170543837,35.614010597249,1.44535695042971,8.94294750044796,"P. nigra"
210,34062,26,25.525675156383,0.639945655711604,2.47918003089552,6.56747651720404,0.37597296325482,1.99799097597925,2.44468495948643,0.276909838813461,1.74903028153362,"P. pinaster"
211,34062,43,61.2995119386556,0.772727686630791,3.11837324038173,133.028403544798,1.88010611500174,7.15320221232853,211.519673538435,3.4259921603054,14.5654683829305,"Q. pyrenaica"
214,34067,21,NA,NA,NA,0.80431869951344,0.00816395955474948,0.0201597783135445,2.6115126253162,0.10663402130485,0.623174321972132,"P. sylvestris"
215,34067,25,NA,NA,NA,2.41739848398919,0.0313619518689764,0.095038601197029,0.827346523750022,0.0404018329814261,0.242758425045437,"P. nigra"
218,34067,42,NA,NA,NA,23.9133959057027,1.05191076147479,5.64631334735734,7.5975352158031,0.364364855220534,2.08021318089563,"Q. petraea"
219,34067,43,111.796195963232,1.47846098239238,5.94509742950136,127.22186545207,1.9340020255201,7.62281676978135,213.345574023611,3.78293966049526,16.8255569548061,"Q. pyrenaica"
220,34067,44,12.0412138417385,0.122615397530642,0.456821429610785,39.9888266084759,0.381294280994166,1.47423901551077,33.5403977279974,0.36870646560966,1.34942206445334,"Q. faginea"
227,34068,21,NA,NA,NA,31.5371895389979,0.812401624361447,3.98612864623683,2.54106225441161,0.118399842399439,0.670927033168333,"P. sylvestris"
228,34068,25,NA,NA,NA,40.2927238666087,0.882363392446187,3.74504812695761,68.7844450647002,2.61814047439799,15.4206476163533,"P. nigra"
230,34068,26,20.9381901785646,0.504111137150026,1.93781836623576,6.50975354819778,0.369317231297781,1.92539902650767,6.62598897509217,0.671452471208875,4.22630702262093,"P. pinaster"
231,34068,43,NA,NA,NA,90.2155385026185,1.48592031654983,6.25939875010129,91.8176656297981,1.28940997777699,4.87195485705407,"Q. pyrenaica"
235,34071,25,NA,NA,NA,10.6387841189927,0.217519189518327,0.854142819891252,17.0145672082608,0.647791404218672,3.81559976950146,"P. nigra"
237,34071,26,10.9952526895446,0.274976489401283,1.10642292807773,2.22988328134944,0.125801650597541,0.662306150071777,1.64176124478659,0.166583003914385,1.04894660109618,"P. pinaster"
238,34071,42,NA,NA,NA,NA,NA,NA,0.110066688266213,0.00428551301267475,0.0232783211066872,"Q. petraea"
239,34071,43,NA,NA,NA,19.0145965914804,0.27945288786942,1.05120665497733,32.8426918952753,0.475192749564521,1.8324537234996,"Q. pyrenaica"
240,34071,44,NA,NA,NA,0.299153560727564,0.00246476368764614,0.00984905442647995,0.0594360768812316,0.000544486556387302,0.00230955439745771,"Q. faginea"
245,34073,21,179.608658258366,3.15074467246976,13.2339682957849,191.217541400757,5.13307839285294,26.0334851359036,120.978522233603,4.82311545362497,28.5703106477394,"P. sylvestris"
