"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
147,-4.410279,42.919053,"A","4","A","1",3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Corisa","E.L.M. de Herreruela de Castilleria","No","No"
152,-4.4958,42.908962,"A","1",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Yesta (La)","E.L.M. de Vañes","No","No"
157,-4.275352,42.911631,"A","4","A","4",3407,"Aguilar","Barruelo de Santullán",34027,"","","La Dehesa","E.L.M. de Barruelo de Santullán","Sí","Sí"
159,-4.507827,42.899799,"A","1",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Barcena","E.L.M. de Arbejal","No","No"
163,-4.507608,42.890797,"A","4C",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Barcena","E.L.M. de Arbejal","No","No"
166,-4.27498,42.893625,"A","1",NA,NA,3407,"Aguilar","Barruelo de Santullán",34027,"","","La Sierra","E.L.M. de Porquera de Santullan","No","No"
169,-4.470666,42.882273,NA,NA,NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","Dehesa de Boyal","E.L.M. de Valsadornin","No","No"
170,-4.238067,42.885025,"A","3E","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"Montaña Palentina","Parque Natural","Aguilar","Ayto. de Aguilar de Campoo","Sí","Sí"
177,-4.27461,42.875619,"A","4",NA,NA,3407,"Aguilar","Barruelo de Santullán",34027,"","","Mataespesa","E.L.M. de Cillamayor","No","No"
179,-4.237887,42.876022,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","El Soto","E.L.M. de Nestar","No","No"
182,-4.22554958,42.86718041,NA,NA,"A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","El Soto","E.L.M. de Nestar","No","No"
183,-4.518967,42.854627,"A","4",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"Montaña Palentina","Parque Natural","La Robla","Ayto. de Cervera de Pisuerga","Sí","Sí"
189,-4.347466,42.847769,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
191,-4.396202,42.83818,"A","3E",NA,NA,3406,"Cervera","Cervera de Pisuerga",34056,"","","Los Corros","E.L.M. de Barcenilla de Pisuerga","Sí","Sí"
