"ID","IDmuni","Calidad","VCC_m3_ha_IFN2","VCC_total_IFN2","Porc_VCC_IFN2","VCC_m3_ha_IFN3","VCC_total_IFN3","Porc_VCC_IFN3","VCC_m3_ha_IFN4","VCC_total_IFN4","Porc_VCC_IFN4"
"16",34027,2,20.6943437606897,49.2792118182081,41.994064022435,23.2269813582038,53.6878672008788,43.2629988285763,130.709877873679,169.132130523958,77.282700495021
"17",34027,3,28.5848680575184,49.2792118182081,58.005935977565,17.833026545045,53.6878672008788,33.2161202796916,22.8817243648344,169.132130523958,13.5289044689194
"18",34027,4,NA,NA,NA,6.4181299816067,53.6878672008788,11.9545258849501,10.9047883568428,169.132130523958,6.44749659515353
"19",34027,5,NA,NA,NA,6.20972931602331,53.6878672008788,11.566355006782,4.63573992860245,169.132130523958,2.74089844090611
"20",34028,2,NA,NA,NA,NA,NA,NA,4.358578227175,9.94791817672488,43.8139734338865
"21",34028,3,NA,NA,NA,NA,NA,NA,5.58933994954987,9.94791817672488,56.1860265661135
"22",34037,2,58.7472242373816,71.7999797527629,81.8206696431846,83.7188412991924,101.865693564133,82.1855115004781,108.49667501061,144.670440148708,74.9957454329204
"23",34037,3,7.51837902792274,71.7999797527629,10.4712829360282,12.743654495059,101.865693564133,12.5102515372712,20.991626357793,144.670440148708,14.5099623227908
"24",34037,4,5.53437648745859,71.7999797527629,7.70804742078723,4.31280178996823,101.865693564133,4.2338118350443,7.1612946277675,144.670440148708,4.95007454211542
"25",34037,5,NA,NA,NA,1.09039597991347,101.865693564133,1.07042512720632,8.02084415253678,144.670440148708,5.54421770217337
"26",34041,2,125.064895385185,134.726300955059,92.8288645191138,156.704753827607,181.738844095232,86.225239633137,98.3067567328001,153.960052593029,63.8521194797585
"27",34041,3,4.57594943875785,134.726300955059,3.39647819788674,22.1636831224796,181.738844095232,12.1953472483107,49.2583991734317,153.960052593029,31.9942727634935
"28",34041,4,2.20392552126547,134.726300955059,1.63585395401054,NA,NA,NA,3.83637295046234,153.960052593029,2.49179763571738
"29",34041,5,2.88153060985036,134.726300955059,2.13880332898886,2.87040714514526,181.738844095232,1.57941311855222,2.55852373633501,153.960052593029,1.66181012103061
"30",34049,1,NA,NA,NA,NA,NA,NA,7.28623303194747,169.796603657693,4.29115357727438
"31",34049,2,128.941642931338,157.185511654968,82.0315063225246,75.4338475746552,95.4748703106985,79.0091123760368,143.201195876228,169.796603657693,84.3369023828763
"32",34049,3,28.2438687236302,157.185511654968,17.9684936774753,19.0207026775732,95.4748703106985,19.9222084467622,19.3091747495176,169.796603657693,11.3719440398494
"33",34049,4,NA,NA,NA,1.02032005847011,95.4748703106985,1.06867917720101,NA,NA,NA
"34",34052,3,NA,NA,NA,NA,NA,NA,9.74031071731114,11.5488085836724,84.3403944808806
"35",34052,4,NA,NA,NA,NA,NA,NA,1.8084978663613,11.5488085836724,15.6596055191194
"36",34055,2,NA,NA,NA,11.9094020535246,11.9094020535246,100,10.0579469210617,10.0579469210617,100
"37",34056,2,50.3893321251616,83.7884011646618,60.1387917954609,74.7957499589922,103.270486794974,72.4270333957915,96.8558788344957,140.046645387391,69.1597278653674
"38",34056,3,18.9576142540775,83.7884011646618,22.6255830050055,15.5782096486575,103.270486794974,15.0848612533273,23.4936692066617,140.046645387391,16.77560297262
"39",34056,4,11.1930717298393,83.7884011646618,13.3587365008225,8.65883429423098,103.270486794974,8.38461651819424,12.1344728670987,140.046645387391,8.6645937384168
"40",34056,5,3.24838305558349,83.7884011646618,3.8768886987111,4.23769289309315,103.270486794974,4.1034888326869,7.56262447913492,140.046645387391,5.40007542359584
"41",34061,2,17.6894969747066,81.3524880022801,21.7442605740722,70.3718651085538,74.5179008909688,94.4361881737902,120.692712475324,129.992275487274,92.8460649087872
"42",34061,3,62.6027281713455,81.3524880022801,76.952444490193,4.14603578241506,74.5179008909688,5.56381182620985,9.29956301195011,129.992275487274,7.1539350912128
"43",34061,4,1.06026285622799,81.3524880022801,1.30329493573482,NA,NA,NA,NA,NA,NA
"44",34062,2,58.5159706801766,68.5471022723291,85.3660749183823,93.3966961713285,103.359210484575,90.3612708857397,146.864099745604,162.924777643374,90.1422741647529
"45",34062,3,6.70139433832777,68.5471022723291,9.7763349816072,6.95722335383067,103.359210484575,6.73111116195006,16.0606778977697,162.924777643374,9.8577258352471
"46",34062,4,2.06773708633971,68.5471022723291,3.01652005379432,3.00529095941564,103.359210484575,2.90761795231026,NA,NA,NA
"47",34062,5,1.26200016748501,68.5471022723291,1.84107004621617,NA,NA,NA,NA,NA,NA
"48",34067,1,NA,NA,NA,NA,NA,NA,8.76533579306832,80.6168546025599,10.8728327795488
"49",34067,2,24.9898505876779,45.4712054021004,54.95752832302,57.2726659206882,69.5364367116588,82.3635328887734,57.730018389431,80.6168546025599,71.6103582483332
"50",34067,3,20.4813548144225,45.4712054021004,45.04247167698,12.2637707909706,69.5364367116588,17.6364671112266,9.21346514540091,80.6168546025599,11.4287082903732
"51",34067,4,NA,NA,NA,NA,NA,NA,4.90803527465963,80.6168546025599,6.08810068174476
