"Estadillo","CoorX","CoorY","IdDamageNFI3","DamageNFI3","TreesDamNFI3","TotalTreesNFI3","PercentageDamageNFI3"
371,409896,4741812,400,"Abiotic damage",2,44,4.55
382,345937,4724840,100,"No damage observed",27,29,93.1
382,345937,4724840,316,"Competition",1,29,3.45
382,345937,4724840,411,"Wind",1,29,3.45
384,345955,4723788,100,"No damage observed",18,18,100
386,345918,4722804,100,"No damage observed",35,35,100
398,347903,4719775,100,"No damage observed",49,49,100
402,344928,4717802,100,"No damage observed",33,33,100
404,344906,4716775,100,"No damage observed",40,44,90.91
404,344906,4716775,200,"Unknown causes",1,44,2.27
404,344906,4716775,316,"Competition",2,44,4.55
404,344906,4716775,411,"Wind",1,44,2.27
407,344905,4714759,100,"No damage observed",44,45,97.78
407,344905,4714759,316,"Competition",1,45,2.22
411,345899,4710808,100,"No damage observed",9,9,100
412,346899,4710829,100,"No damage observed",20,20,100
418,356864,4724825,100,"No damage observed",43,44,97.73
418,356864,4724825,200,"Unknown causes",1,44,2.27
424,371876,4724791,100,"No damage observed",11,12,91.67
424,371876,4724791,316,"Competition",1,12,8.33
431,370880,4723808,100,"No damage observed",23,25,92
431,370880,4723808,300,"Biotic damage",1,25,4
431,370880,4723808,316,"Competition",1,25,4
436,355869,4722843,100,"No damage observed",32,32,100
439,364896,4722817,100,"No damage observed",45,62,72.58
439,364896,4722817,316,"Competition",17,62,27.42
452,360862,4720787,100,"No damage observed",25,25,100
453,366901,4720793,100,"No damage observed",26,33,78.79
453,366901,4720793,316,"Competition",7,33,21.21
454,370877,4720814,100,"No damage observed",7,12,58.33
454,370877,4720814,300,"Biotic damage",5,12,41.67
458,362936,4719770,200,"Unknown causes",9,9,100
461,371894,4719803,100,"No damage observed",12,12,100
465,353868,4718832,100,"No damage observed",24,26,92.31
465,353868,4718832,200,"Unknown causes",1,26,3.85
465,353868,4718832,316,"Competition",1,26,3.85
472,354883,4717798,100,"No damage observed",23,26,88.46
472,354883,4717798,316,"Competition",1,26,3.85
472,354883,4717798,411,"Wind",2,26,7.69
475,354882,4716797,100,"No damage observed",24,24,100
478,370892,4716793,100,"No damage observed",15,20,75
478,370892,4716793,316,"Competition",5,20,25
479,371880,4716791,100,"No damage observed",21,22,95.45
479,371880,4716791,316,"Competition",1,22,4.55
486,371893,4714777,100,"No damage observed",33,34,97.06
486,371893,4714777,316,"Competition",1,34,2.94
490,361938,4713829,100,"No damage observed",11,16,68.75
490,361938,4713829,200,"Unknown causes",5,16,31.25
495,357928,4712810,100,"No damage observed",22,22,100
499,365895,4711778,100,"No damage observed",33,33,100
504,347892,4709783,100,"No damage observed",37,39,94.87
504,347892,4709783,200,"Unknown causes",1,39,2.56
504,347892,4709783,316,"Competition",1,39,2.56
508,368879,4708799,100,"No damage observed",11,11,100
514,368910,4707768,100,"No damage observed",35,35,100
527,381904,4719769,100,"No damage observed",29,34,85.29
527,381904,4719769,316,"Competition",3,34,8.82
527,381904,4719769,321,"Logging",2,34,5.88
528,375897,4717807,100,"No damage observed",5,5,100
530,375915,4716812,100,"No damage observed",37,41,90.24
530,375915,4716812,316,"Competition",4,41,9.76
532,376914,4715806,100,"No damage observed",10,11,90.91
532,376914,4715806,316,"Competition",1,11,9.09
534,375886,4714758,100,"No damage observed",38,48,79.17
534,375886,4714758,316,"Competition",10,48,20.83
536,381923,4714793,100,"No damage observed",22,25,88
536,381923,4714793,316,"Competition",2,25,8
536,381923,4714793,421,"Fire",1,25,4
537,382949,4714815,100,"No damage observed",37,39,94.87
537,382949,4714815,316,"Competition",2,39,5.13
539,375907,4713789,100,"No damage observed",26,30,86.67
