"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","DamageNFI2","DamageNFI2_EN"
392,42.6236709,-4.89115871,NA,NA,"A","1","G412","Severe trunk damage caused by fire"
393,42.624155,-4.879171,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
394,42.624354,-4.866984,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
395,42.614953,-4.891087,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
397,42.615353,-4.866715,NA,NA,NA,NA,"P204","Minor leaf damage caused by insects"
399,42.605953,-4.890814,"A","1",NA,NA,"M202","Moderate leaf damage from unknown causes"
400,42.606153,-4.87863,"A","4","A","1","M402","Moderate trunk damage from unknown causes"
401,42.60655,-4.854261,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
406,42.578951,-4.889998,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
409,42.543148,-4.876739,"A","4","A","1","P202","Minor leaf damage from unknown causes"
410,42.543346,-4.864567,"A","4","A","1","M413","Moderate trunk damage caused by snow"
413,42.524946,-4.888369,"A","1",NA,NA,"01","No damage observed"
414,42.525344,-4.864031,"A","1",NA,NA,"P402","Minor trunk damage from unknown causes"
415,42.515945,-4.888098,"A","1",NA,NA,"01","No damage observed"
417,42.507342,-4.863496,"A","4","A","1","P402","Minor trunk damage from unknown causes"
419,42.663374,-4.672924,"A","1",NA,NA,"01","No damage observed"
420,42.663552,-4.660727,"A","3E","A","1","01","No damage observed"
422,42.66459,-4.587543,"A","1",NA,NA,"01","No damage observed"
423,42.664758,-4.575345,"A","1",NA,NA,"01","No damage observed"
426,42.65328,-4.745852,"A","3E",NA,NA,"01","No damage observed"
428,42.65455,-4.660488,"A","1",NA,NA,"01","No damage observed"
429,42.655075,-4.623901,"A","4",NA,NA,"01","No damage observed"
430,42.655587,-4.587314,"A","1",NA,NA,"01","No damage observed"
432,42.655923,-4.562922,"A","1",NA,NA,"01","No damage observed"
434,42.643716,-4.782178,"A","3E","A","1","",NA
435,42.643905,-4.769986,"A","1",NA,NA,"01","No damage observed"
437,42.644279,-4.7456,"A","1",NA,NA,"01","No damage observed"
438,42.644464,-4.733407,"A","1",NA,NA,"01","No damage observed"
440,42.646585,-4.587085,"A","1",NA,NA,"01","No damage observed"
442,42.634524,-4.794112,NA,NA,"A","1","01","No damage observed"
443,42.634714,-4.781921,"A","1",NA,NA,"01","No damage observed"
444,42.635463,-4.733158,"A","4","A","1","01","No damage observed"
445,42.63619,-4.684392,"A","4","A","1","01","No damage observed"
446,42.636722,-4.647817,"A","1",NA,NA,"01","No damage observed"
447,42.637919,-4.562471,"A","1",NA,NA,"01","No damage observed"
448,42.638084,-4.550278,"A","4","A","1","P402","Minor trunk damage from unknown causes"
449,42.625523,-4.793853,"A","4","A","1","P202","Minor leaf damage from unknown causes"
450,42.626461,-4.732908,"A","1",NA,NA,"01","No damage observed"
451,42.626645,-4.720718,"A","1",NA,NA,"01","No damage observed"
455,42.628916,-4.562246,"A","4","A","1","P204","Minor leaf damage caused by insects"
456,42.629082,-4.550055,"A","4","A","1","01","No damage observed"
457,42.617089,-4.757033,NA,NA,NA,NA,"01","No damage observed"
459,42.618893,-4.635154,"A","4","A","1","01","No damage observed"
