"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IdDamageNFI4","DamageNFI4","TreesDamNFI4","TotalTreesNFI4","PercentageDamageNFI4"
455,42.628916,-4.562246,"A","4","A","1",100,"No damage observed",12,21,57.14
455,42.628916,-4.562246,"A","4","A","1",310,"Fungi",8,21,38.1
455,42.628916,-4.562246,"A","4","A","1",316,"Competition",1,21,4.76
456,42.629082,-4.550055,"A","4","A","1",100,"No damage observed",22,28,78.57
456,42.629082,-4.550055,"A","4","A","1",200,"Unknown causes",1,28,3.57
456,42.629082,-4.550055,"A","4","A","1",311,"Insects",1,28,3.57
456,42.629082,-4.550055,"A","4","A","1",316,"Competition",4,28,14.29
459,42.618893,-4.635154,"A","4","A","1",100,"No damage observed",1,2,50
459,42.618893,-4.635154,"A","4","A","1",300,"Biotic damage",1,2,50
464,42.606747,-4.842076,"A","4C","A","4",100,"No damage observed",16,32,50
464,42.606747,-4.842076,"A","4C","A","4",311,"Insects",16,32,50
466,42.610745,-4.573983,"A","4","A","1",100,"No damage observed",22,28,78.57
466,42.610745,-4.573983,"A","4","A","1",200,"Unknown causes",2,28,7.14
466,42.610745,-4.573983,"A","4","A","1",311,"Insects",1,28,3.57
466,42.610745,-4.573983,"A","4","A","1",316,"Competition",1,28,3.57
466,42.610745,-4.573983,"A","4","A","1",322,"Human activity",2,28,7.14
467,42.611077,-4.549608,"A","1","A","4",100,"No damage observed",9,32,28.12
467,42.611077,-4.549608,"A","1","A","4",311,"Insects",23,32,71.88
474,42.602239,-4.537199,"A","4","A","1",100,"No damage observed",11,25,44
474,42.602239,-4.537199,"A","4","A","1",300,"Biotic damage",3,25,12
474,42.602239,-4.537199,"A","4","A","1",311,"Insects",7,25,28
474,42.602239,-4.537199,"A","4","A","1",316,"Competition",4,25,16
476,42.590271,-4.744092,"A","1","A","4",100,"No damage observed",26,31,83.87
476,42.590271,-4.744092,"A","1","A","4",311,"Insects",1,31,3.23
476,42.590271,-4.744092,"A","1","A","4",321,"Logging operations",1,31,3.23
476,42.590271,-4.744092,"A","1","A","4",322,"Human activity",3,31,9.68
488,42.575395,-4.524355,"A","4","A","4",100,"No damage observed",17,31,54.84
488,42.575395,-4.524355,"A","4","A","4",200,"Unknown causes",1,31,3.23
488,42.575395,-4.524355,"A","4","A","4",311,"Insects",12,31,38.71
488,42.575395,-4.524355,"A","4","A","4",316,"Competition",1,31,3.23
492,42.56623,-4.536315,"A","4","A","1",100,"No damage observed",6,23,26.09
492,42.56623,-4.536315,"A","4","A","1",200,"Unknown causes",2,23,8.7
492,42.56623,-4.536315,"A","4","A","1",311,"Insects",14,23,60.87
492,42.56623,-4.536315,"A","4","A","1",316,"Competition",1,23,4.35
496,42.55739,-4.523917,"A","4","A","1",100,"No damage observed",11,26,42.31
496,42.55739,-4.523917,"A","4","A","1",200,"Unknown causes",1,26,3.85
496,42.55739,-4.523917,"A","4","A","1",311,"Insects",14,26,53.85
497,42.545263,-4.742838,"A","4","A","1",100,"No damage observed",9,27,33.33
497,42.545263,-4.742838,"A","4","A","1",200,"Unknown causes",11,27,40.74
497,42.545263,-4.742838,"A","4","A","1",311,"Insects",2,27,7.41
497,42.545263,-4.742838,"A","4","A","1",316,"Competition",3,27,11.11
497,42.545263,-4.742838,"A","4","A","1",400,"Abiotic damage",1,27,3.7
497,42.545263,-4.742838,"A","4","A","1",411,"Wind",1,27,3.7
503,42.539222,-4.535652,"A","4","A","4",100,"No damage observed",20,38,52.63
503,42.539222,-4.535652,"A","4","A","4",311,"Insects",18,38,47.37
509,42.50754,-4.851331,"A","4","A","1",100,"No damage observed",2,25,8
509,42.50754,-4.851331,"A","4","A","1",310,"Fungi",1,25,4
509,42.50754,-4.851331,"A","4","A","1",311,"Insects",21,25,84
509,42.50754,-4.851331,"A","4","A","1",316,"Competition",1,25,4
513,42.511213,-4.607999,"A","4","A","1",100,"No damage observed",23,33,69.7
513,42.511213,-4.607999,"A","4","A","1",311,"Insects",6,33,18.18
513,42.511213,-4.607999,"A","4","A","1",316,"Competition",2,33,6.06
513,42.511213,-4.607999,"A","4","A","1",321,"Logging operations",2,33,6.06
515,42.51143902,-4.58340482,NA,NA,"A","1",100,"No damage observed",2,2,100
520,42.657827,-4.416561,"A","4C","A","1",100,"No damage observed",4,8,50
520,42.657827,-4.416561,"A","4C","A","1",200,"Unknown causes",4,8,50
523,42.63931106,-4.4647083,NA,NA,"A","1",100,"No damage observed",2,3,66.67
523,42.63931106,-4.4647083,NA,NA,"A","1",200,"Unknown causes",1,3,33.33
524,42.630048,-4.476907,"A","3E","A","1",100,"No damage observed",25,27,92.59
524,42.630048,-4.476907,"A","3E","A","1",310,"Fungi",2,27,7.41
540,42.56703,-4.475419,"A","4","A","1",100,"No damage observed",26,43,60.47
540,42.56703,-4.475419,"A","4","A","1",310,"Fungi",12,43,27.91
540,42.56703,-4.475419,"A","4","A","1",316,"Competition",5,43,11.63
541,42.567186,-4.46324,"A","4","A","1",100,"No damage observed",6,16,37.5
541,42.567186,-4.46324,"A","4","A","1",200,"Unknown causes",2,16,12.5
541,42.567186,-4.46324,"A","4","A","1",310,"Fungi",7,16,43.75
541,42.567186,-4.46324,"A","4","A","1",321,"Logging operations",1,16,6.25
545,42.568096,-4.390162,"A","4","A","1",100,"No damage observed",8,16,50
545,42.568096,-4.390162,"A","4","A","1",310,"Fungi",4,16,25
545,42.568096,-4.390162,"A","4","A","1",311,"Insects",4,16,25
547,42.557551,-4.51174,"A","4","A","1",100,"No damage observed",17,37,45.95
547,42.557551,-4.51174,"A","4","A","1",200,"Unknown causes",3,37,8.11
547,42.557551,-4.51174,"A","4","A","1",310,"Fungi",1,37,2.7
547,42.557551,-4.51174,"A","4","A","1",311,"Insects",14,37,37.84
547,42.557551,-4.51174,"A","4","A","1",316,"Competition",2,37,5.41
558,42.512698,-4.498485,NA,NA,"A","1",311,"Insects",4,4,100
559,42.512856,-4.486317,"A","1","A","4",100,"No damage observed",13,17,76.47
559,42.512856,-4.486317,"A","1","A","4",311,"Insects",4,17,23.53
560,42.513014,-4.474148,"A","4C","A","1",100,"No damage observed",14,29,48.28
560,42.513014,-4.474148,"A","4C","A","1",311,"Insects",13,29,44.83
560,42.513014,-4.474148,"A","4C","A","1",316,"Competition",2,29,6.9
562,42.515217,-4.291605,"A","4","A","1",100,"No damage observed",12,12,100
569,42.462139,-4.874317,"A","4","A","1",100,"No damage observed",10,29,34.48
569,42.462139,-4.874317,"A","4","A","1",200,"Unknown causes",6,29,20.69
569,42.462139,-4.874317,"A","4","A","1",311,"Insects",13,29,44.83
571,42.452939,-4.886203,"A","4","A","1",100,"No damage observed",13,27,48.15
571,42.452939,-4.886203,"A","4","A","1",310,"Fungi",1,27,3.7
571,42.452939,-4.886203,"A","4","A","1",311,"Insects",11,27,40.74
571,42.452939,-4.886203,"A","4","A","1",316,"Competition",1,27,3.7
571,42.452939,-4.886203,"A","4","A","1",411,"Wind",1,27,3.7
573,42.453336,-4.861894,"A","1","A","1",200,"Unknown causes",1,2,50
573,42.453336,-4.861894,"A","1","A","1",311,"Insects",1,2,50
574,42.44449007,-4.86148878,NA,NA,"A","1",200,"Unknown causes",1,1,100
575,42.435136,-4.873512,"A","1","A","1",100,"No damage observed",2,20,10
575,42.435136,-4.873512,"A","1","A","1",311,"Insects",18,20,90
577,42.408133,-4.872708,"A","1","A","1",100,"No damage observed",2,20,10
577,42.408133,-4.872708,"A","1","A","1",311,"Insects",18,20,90
580,42.381129,-4.871905,"A","1","A","4",100,"No damage observed",1,1,100
586,42.484713,-4.570819,"A","1","A","1",100,"No damage observed",17,28,60.71
586,42.484713,-4.570819,"A","1","A","1",311,"Insects",9,28,32.14
586,42.484713,-4.570819,"A","1","A","1",316,"Competition",2,28,7.14
592,42.453533,-4.849739,"A","4","A","1",100,"No damage observed",14,39,35.9
592,42.453533,-4.849739,"A","4","A","1",200,"Unknown causes",3,39,7.69
592,42.453533,-4.849739,"A","4","A","1",311,"Insects",22,39,56.41
611,42.345906,-4.822299,"A","1","A","1",100,"No damage observed",8,8,100
616,42.486005,-4.473514,"A","1","A","4",100,"No damage observed",12,16,75
616,42.486005,-4.473514,"A","1","A","4",200,"Unknown causes",3,16,18.75
616,42.486005,-4.473514,"A","1","A","4",316,"Competition",1,16,6.25
625,42.460919,-4.314813,"A","4","A","1",100,"No damage observed",22,27,81.48
625,42.460919,-4.314813,"A","4","A","1",200,"Unknown causes",1,27,3.7
625,42.460919,-4.314813,"A","4","A","1",316,"Competition",4,27,14.81
628,42.451634,-4.33894,"A","4","A","1",100,"No damage observed",18,36,50
628,42.451634,-4.33894,"A","4","A","1",311,"Insects",15,36,41.67
628,42.451634,-4.33894,"A","4","A","1",316,"Competition",1,36,2.78
628,42.451634,-4.33894,"A","4","A","1",322,"Human activity",2,36,5.56
629,42.451776,-4.326783,"A","1","A","1",100,"No damage observed",7,26,26.92
629,42.451776,-4.326783,"A","1","A","1",311,"Insects",14,26,53.85
629,42.451776,-4.326783,"A","1","A","1",316,"Competition",1,26,3.85
629,42.451776,-4.326783,"A","1","A","1",321,"Logging operations",4,26,15.38
1014,42.91377468,-4.79002978,NA,NA,"A","4",400,"Abiotic damage",1,1,100
1015,42.916811,-4.581752,"N","N","A","4",100,"No damage observed",15,25,60
1015,42.916811,-4.581752,"N","N","A","4",200,"Unknown causes",6,25,24
1015,42.916811,-4.581752,"N","N","A","4",316,"Competition",4,25,16
1016,42.904163,-4.826411,"N","N","A","1",100,"No damage observed",4,5,80
1016,42.904163,-4.826411,"N","N","A","1",316,"Competition",1,5,20
1018,42.895743,-4.789421,"N","N","A","1",100,"No damage observed",51,52,98.08
1018,42.895743,-4.789421,"N","N","A","1",322,"Human activity",1,52,1.92
1021,42.877741,-4.7889,"N","N","A","1",100,"No damage observed",30,34,88.24
1021,42.877741,-4.7889,"N","N","A","1",200,"Unknown causes",1,34,2.94
1021,42.877741,-4.7889,"N","N","A","1",300,"Biotic damage",2,34,5.88
1021,42.877741,-4.7889,"N","N","A","1",316,"Competition",1,34,2.94
1022,42.880635,-4.593072,"N","N","A","1",100,"No damage observed",42,46,91.3
1022,42.880635,-4.593072,"N","N","A","1",200,"Unknown causes",3,46,6.52
1022,42.880635,-4.593072,"N","N","A","1",316,"Competition",1,46,2.17
1024,42.86877037,-4.78872838,NA,NA,"A","4C",100,"No damage observed",4,4,100
1025,42.850354,-4.812586,"N","N","A","1",100,"No damage observed",27,28,96.43
1025,42.850354,-4.812586,"N","N","A","1",311,"Insects",1,28,3.57
1027,42.841929,-4.775629,"N","N","A","1",300,"Biotic damage",3,3,100
1031,42.836296,-4.542989,"N","N","A","1",100,"No damage observed",31,48,64.58
