"ID","IDmuni","Area_ha","Alimentos","Madera","Leña","Pastos","Agua","Recreativo","Caza","SedimentaEvitaEmbalses","CarbonoSupForestal","CarbonoArbolado","CarbonoMatorral","DiversidadBiologica"
"11",34042,10.7989010344013,283.17364282936,238.470349278106,6.42723670304177,38.2179335156078,2136.4162561086,1.43688775393104,39.2247837194708,78.2141963715622,1039.88781522811,1014.84550022013,25.1004383405886,250.876209525607
"12",34049,2971.35167723547,84007.0029389579,74084.5446732988,3329.52492374125,6592.66245375437,1528361.99187759,3703.94358641654,10766.5610158611,35181.0761481669,357617.444353841,349870.160945747,7736.14592904646,77991.8610352083
"13",34052,1.61905361005527,77.0183802303292,75.107896970464,0.42095393861437,1.48952932125085,428.952063448043,0.259048577608843,5.84478353229952,7.85241000876806,258.336194020419,256.247614863448,2.0885791569713,20.4000754866964
"14",34055,403.437744236317,4566.14578194607,2747.36268938138,331.946116885665,1484.9075652032,79560.5392973839,91.9507755951294,1473.15448952995,3569.65243978412,19495.7275007149,18530.9371336255,966.719777565224,10114.4110967952
"15",34056,11108.2264330883,96021.4769185882,44309.6394105874,24409.2294616331,27279.7169003858,6827175.8334173,21964.8664293365,40397.5992845208,173217.964949681,807197.081285871,770320.020247919,36878.9886487958,372632.026502384
"16",34061,785.232637854136,14887.287098427,11418.7173797293,1667.79390469494,1800.77581400272,379406.102619477,868.822955004461,2850.80982111177,9352.71709430372,69468.6706873192,67184.0345485303,2284.63613878886,22540.3366560028
"17",34062,3162.96356341083,80488.7605357125,69248.0995514401,5036.29959273214,6204.36139154029,1665048.57639013,3984.80555823433,11449.758124518,37813.9542897184,353064.883699428,344480.629516517,8576.40028697714,84888.2503526868
"18",34067,1286.11302892121,8077.92751799234,1254.55505237467,3042.05987775604,3780.4378055754,625621.898058795,1578.07395877735,4686.94542389949,17571.0937137108,64672.1410874533,60534.4100488239,4138.39951314937,41954.8557554925
"19",34068,549.242058745577,15419.3541024473,13388.6899762205,845.680688868947,1184.98343735785,226292.465172835,445.648865665657,1989.6591828839,5488.13188244424,61346.9011107749,59989.9348745047,1356.96623627017,13730.5717737746
"20",34071,300.714692847482,7132.63743728523,6012.07676640387,548.17467223303,572.385998648328,135320.36728223,286.574183479205,1090.75666350558,3188.35038373072,30119.0961296622,29335.0168564601,784.079273202146,7630.39623583944
"21",34073,1544.18358934589,57106.5822896002,53172.6665372918,1126.08865905807,2807.82709325034,780155.014076678,1799.78549780245,5569.23560231909,16667.4618989339,225978.705111516,222447.672035977,3524.09872220403,36312.5614097751
"22",34080,3182.23662761549,52090.6618499693,38182.429579666,6015.69155173518,7888.41552155361,1748812.38759271,4488.06384745314,11550.6681460058,42348.4927171003,275679.336414032,265762.26869794,9912.42822067338,96314.5915018427
"23",34083,1459.06812335213,37172.8722826923,31232.3040745244,2433.47083989118,3507.06923390278,645267.516406057,1381.50294775974,5287.60039003486,15989.7253982748,155149.787183845,151265.160416687,3884.04850117409,39598.5849592171
"24",34089,3.52688166519395,177.014190776084,165.622362997508,0.352688166519395,11.0391396120571,783.56729955614,0.317419349867456,12.6967739946982,23.1716125403243,598.758700299977,592.763001469147,5.99569883082972,76.392256868101
"25",34091,1686.02890365928,47688.8584902248,40379.0974796225,2461.62071527938,4848.11538541655,680084.251114589,1375.87966114669,6106.62095744729,17982.4162876542,191176.363444122,186765.950957625,4410.01128205743,47041.8329877911
"26",34093,307.991645293354,6956.98689313558,5687.44669326273,584.684733404949,684.855466467907,140481.236039287,305.709153825179,1117.10831999924,3434.98997000614,30114.5550754244,29272.1030680045,842.452007419918,8381.89502702843
"27",34094,767.302310916508,35484.6512499487,32903.6746958789,169.859311584825,2410.98201245878,181811.700539149,126.747815232612,2766.75836113081,5422.32136788658,121601.38701414,120216.574929073,1384.83766034951,17105.1687053182
