"ID","IDmuni","SP1","Area_ha50","Area_ha25","Especie"
"128",34114,44,53.869195683761,183.642822614404,"Q. faginea"
"129",34122,21,18.4012034564212,25.8705100332382,"P. sylvestris"
"130",34122,25,338.972202392314,324.405506058629,"P. nigra"
"131",34122,26,11.682390528306,10.2540734839782,"P. pinaster"
"133",34124,21,51.9974233398954,130.151112243352,"P. sylvestris"
"134",34124,25,19.6712984193279,221.065460319521,"P. nigra"
"135",34124,26,32.5694680702024,32.1385893882738,"P. pinaster"
"137",34124,43,257.740161626756,277.972125971514,"Q. pyrenaica"
"142",34129,21,1718.09880470357,1625.28981427413,"P. sylvestris"
"143",34129,25,213.35148295154,294.915878708097,"P. nigra"
"145",34129,43,448.188183228265,451.498609772016,"Q. pyrenaica"
"148",34131,44,52.9906759097157,52.718964547546,"Q. faginea"
"149",34135,21,244.073789382668,472.440881601915,"P. sylvestris"
"150",34135,25,437.49046996297,423.908868443097,"P. nigra"
"151",34135,43,1327.38238289554,1385.69572791145,"Q. pyrenaica"
"152",34135,44,85.3612052147295,54.896902520536,"Q. faginea"
"153",34136,21,102.116979911548,101.281831737714,"P. sylvestris"
"155",34136,43,295.394159963421,306.679009702059,"Q. pyrenaica"
"156",34139,25,330.057419930792,405.993128297497,"P. nigra"
"158",34140,21,153.312967355511,165.334560302873,"P. sylvestris"
"159",34140,25,106.995665615519,118.742915927157,"P. nigra"
"160",34140,26,65.2477338699876,57.8713018488423,"P. pinaster"
"161",34140,43,1035.23912229283,1042.0676734605,"Q. pyrenaica"
"164",34143,43,305.793029003137,285.078723835007,"Q. pyrenaica"
"165",34151,21,921.233208203244,881.292983659432,"P. sylvestris"
"166",34151,25,93.3760090997706,97.2798740987059,"P. nigra"
"167",34151,26,58.9128318571969,35.1538291153474,"P. pinaster"
"168",34151,43,1708.62718578255,1743.55408874591,"Q. pyrenaica"
"169",34154,21,55.2002305709118,48.9248954128998,"P. sylvestris"
"171",34154,26,146.25352559731,143.414638668688,"P. pinaster"
"172",34154,43,788.96642684829,797.500221861106,"Q. pyrenaica"
"173",34157,21,811.59485160805,839.00384248829,"P. sylvestris"
"174",34157,25,488.821192917761,508.056164500548,"P. nigra"
"175",34157,26,135.10402962594,117.070289081732,"P. pinaster"
"176",34157,43,2100.34118036577,2077.29259893644,"Q. pyrenaica"
"178",34158,25,55.2786347102189,31.7566779202033,"P. nigra"
"179",34158,43,603.276159923223,620.761176733886,"Q. pyrenaica"
"183",34161,43,84.4537423695006,91.2696466438832,"Q. pyrenaica"
"186",34168,26,48.9825033093165,48.243951884671,"P. pinaster"
"187",34168,43,484.940679711588,494.73512916134,"Q. pyrenaica"
"189",34169,25,1213.26715088249,1059.32608767941,"P. nigra"
"190",34169,26,44.3281444730995,13.3556356237212,"P. pinaster"
"191",34169,43,304.842864982527,380.080088803358,"Q. pyrenaica"
"192",34170,25,139.914407325767,203.163558455139,"P. nigra"
"194",34171,21,964.037187132147,1031.75739916764,"P. sylvestris"
"195",34171,25,104.957905308782,54.9882000440845,"P. nigra"
"197",34171,43,2653.95476900991,2636.25610585266,"Q. pyrenaica"
"199",34176,25,25.0916565799132,24.6467101278468,"P. nigra"
"200",34176,26,142.109043730683,135.603827274673,"P. pinaster"
"201",34176,43,482.277680085931,481.700118224691,"Q. pyrenaica"
"202",34179,21,93.4707626906296,85.3437313072917,"P. sylvestris"
"203",34179,25,123.500867785601,141.634224006016,"P. nigra"
"204",34179,43,522.606898885052,536.751610451439,"Q. pyrenaica"
"205",34190,21,14.7125459366259,18.2734174216226,"P. sylvestris"
"206",34190,25,43.7945492890812,45.2643087884135,"P. nigra"
"208",34190,43,759.708555548775,730.413938988897,"Q. pyrenaica"
"209",34190,44,75.1255718160502,63.1623864641703,"Q. faginea"
"210",34199,21,3719.43850286395,3558.91658151634,"P. sylvestris"
"211",34199,42,269.625534357706,347.12148258775,"Q. petraea"
"212",34199,43,2489.69481828644,2035.2798913432,"Q. pyrenaica"
"214",34202,43,315.153549371436,320.899505199958,"Q. pyrenaica"
"215",34208,21,827.969213157207,543.329407769919,"P. sylvestris"
"216",34208,25,256.95692019033,552.678770208382,"P. nigra"
"220",34214,21,666.779272160603,752.719003392501,"P. sylvestris"
"222",34214,43,253.032102530026,289.520328578031,"Q. pyrenaica"
"224",34222,21,71.1756507249445,58.6978031842363,"P. sylvestris"
"225",34222,25,219.339194712787,457.556728189073,"P. nigra"
"226",34222,26,216.578313897067,208.643952034319,"P. pinaster"
"227",34222,43,1432.67392577507,1185.61644555259,"Q. pyrenaica"
"228",34228,21,44.4387125672827,147.629970275558,"P. sylvestris"
"229",34228,25,867.820004448553,769.475783520965,"P. nigra"
"230",34228,26,10.5386457223797,62.3053036575578,"P. pinaster"
"231",34228,43,260.499586873856,237.176351691931,"Q. pyrenaica"
"234",34229,26,83.1137119071865,77.0133061679659,"P. pinaster"
"235",34229,43,695.711423107896,680.737243677225,"Q. pyrenaica"
"237",34231,25,358.564199856162,398.526256548378,"P. nigra"
