"ID","Estadillo","CoorX","CoorY","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"296",514,368910,4707768,100,"No se advierten daños",20,30,66.67
"297",514,368910,4707768,311,"Insectos",6,30,20
"298",514,368910,4707768,316,"Dominancia",3,30,10
"299",514,368910,4707768,321,"Saca de madera",1,30,3.33
"300",527,381904,4719769,100,"No se advierten daños",27,29,93.1
"301",527,381904,4719769,321,"Saca de madera",2,29,6.9
"302",528,375897,4717807,100,"No se advierten daños",5,5,100
"303",530,375915,4716812,100,"No se advierten daños",15,38,39.47
"304",530,375915,4716812,200,"Causas desconocidas",2,38,5.26
"305",530,375915,4716812,311,"Insectos",20,38,52.63
"306",530,375915,4716812,322,"Causas antrópicas",1,38,2.63
"307",532,376914,4715806,100,"No se advierten daños",3,15,20
"308",532,376914,4715806,200,"Causas desconocidas",3,15,20
"309",532,376914,4715806,310,"Hongos",6,15,40
"310",532,376914,4715806,311,"Insectos",3,15,20
"311",534,375886,4714758,100,"No se advierten daños",22,30,73.33
"312",534,375886,4714758,311,"Insectos",7,30,23.33
"313",534,375886,4714758,316,"Dominancia",1,30,3.33
"314",536,381923,4714793,100,"No se advierten daños",19,26,73.08
"315",536,381923,4714793,310,"Hongos",1,26,3.85
"316",536,381923,4714793,311,"Insectos",4,26,15.38
"317",536,381923,4714793,316,"Dominancia",2,26,7.69
"318",537,382949,4714815,100,"No se advierten daños",44,46,95.65
"319",537,382949,4714815,316,"Dominancia",2,46,4.35
"320",539,375907,4713789,100,"No se advierten daños",25,34,73.53
"321",539,375907,4713789,310,"Hongos",3,34,8.82
"322",539,375907,4713789,311,"Insectos",5,34,14.71
"323",539,375907,4713789,411,"Viento",1,34,2.94
"324",542,380917,4713787,100,"No se advierten daños",14,21,66.67
"325",542,380917,4713787,310,"Hongos",4,21,19.05
"326",542,380917,4713787,311,"Insectos",3,21,14.29
"327",549,383915,4712820,100,"No se advierten daños",22,31,70.97
"328",549,383915,4712820,200,"Causas desconocidas",3,31,9.68
"329",549,383915,4712820,300,"Daños bióticos",2,31,6.45
"330",549,383915,4712820,311,"Insectos",4,31,12.9
"331",553,376886,4710778,100,"No se advierten daños",6,26,23.08
"332",553,376886,4710778,310,"Hongos",3,26,11.54
"333",553,376886,4710778,311,"Insectos",17,26,65.38
"334",555,376889,4709803,100,"No se advierten daños",7,13,53.85
"335",555,376889,4709803,200,"Causas desconocidas",1,13,7.69
"336",555,376889,4709803,311,"Insectos",5,13,38.46
"337",557,375873,4708781,311,"Insectos",29,30,96.67
"338",557,375873,4708781,316,"Dominancia",1,30,3.33
"339",576,345836,4697773,100,"No se advierten daños",29,30,96.67
