"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","Altitude_m","FuelModel","Aspect","Slope","Exposure","Stoniness","Texture","BioRigion","OrganicMatter","SoilpH","SoilType"
233,-4.54141932,42.77362686,NA,NA,"A","1",1131,4,45,6,"All exposures","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
235,-4.724451,42.761666,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,-4.565635,42.763948,"A","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,-4.553418,42.764114,"A","4C","A","4",1111,7,380,10,"All exposures","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
240,-4.5412,42.76428,"A","4C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,-4.61427,42.754268,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,-4.602055,42.754439,"A","3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,-4.577624,42.754778,"A","4","A","1",1090,5,315,6,"All exposures","Slightly stony","Sandy texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
247,-4.565409,42.754946,"A","4C","A","1",1097,6,381,7,"All exposures","Slightly stony","Sandy texture","Mediterranean","Highly humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
248,-4.553193,42.755112,"A","4C","A","4",1130,6,85,20,"Sunny slope","No stoniness","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
249,-4.540977,42.755277,"A","4C","A","4",1158,6,185,6,"All exposures","Slightly stony","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
251,-4.785012,42.742728,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,-4.687314,42.744209,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,-4.601823,42.745437,"A","4","A","1",1083,5,80,13,"Sunny slope","No stoniness","Loam texture","Mediterranean","Moderately humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
256,-4.565182,42.745944,"A","4C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,-4.796964,42.733536,"A","4","A","1",1138,11,90,8,"All exposures","Slightly stony","Loam texture","Mediterranean","Low humic","Moderately acidic (5 < pH < 6)","Siliceous soil"
