"ID","Estadillo","CoorX","CoorY","Tronco_IFN2","Ramas7_IFN2","Ramas72_IFN2","Ramas2_IFN2","Raiz_IFN2","Total_IFN2","Tronco_IFN3","Ramas7_IFN3","Ramas72_IFN3","Ramas2_IFN3","Raiz_IFN3","Total_IFN3","Tronco_IFN4","Ramas7_IFN4","Ramas72_IFN4","Ramas2_IFN4","Raiz_IFN4","Total_IFN4"
"14",173,376880,4747795,1.14017646301375,0.0235362880613064,0.195126011561041,0.193041075041504,0.635625925688263,2.18750576336587,4.05733364077701,0.0571488796006765,0.781593909452907,1.00185549497968,2.74036934514567,8.63830126995594,13.8158998168714,0.40944979064291,2.33967186672931,5.03923944119935,12.0833097558816,33.6875706713246
"15",174,379899,4747817,7.63731839790993,0,0.602871424287238,0.961749242729822,6.16519664532482,15.3671357102518,11.5747242435932,0,1.3617484805289,1.5014723026442,8.0156923046669,22.4536373314332,21.8379687623971,0,2.9782457294879,3.31441083436875,14.835606875339,42.9662322015927
"16",175,381914,4747807,0.400912829535938,0,-0.00203822449858171,0.135411855003795,0.549143051950566,1.08342951199172,0.653147694897789,0,0.0234615889718654,0.153225890945245,0.715709734638956,1.54554490945386,1.48593825918287,0,0.0989825772278665,0.292221915867852,1.39463308540307,3.27177583768166
"17",181,398898,4746779,20.8386884098241,0,3.20108440433969,2.29765855034519,10.7319407024074,37.0693720669164,29.0086792290257,0,4.48613039087786,2.68349151268515,13.7060156523258,49.8843167849145,42.515646638656,0,6.86845032007806,3.38592928688049,18.1840732177853,70.9540994633999
"18",184,377874,4745777,2.61193353333816,0,0.515406718356626,1.37579899006358,2.89466888382513,7.3978081255835,10.0267646197721,0,2.33906017871326,2.7337742180503,7.22958842198949,22.3291874385251,22.825619321287,0,5.27548938211275,4.77355810030872,14.2366491877594,47.1113159914679
"19",190,381869,4743777,12.5845682817357,0,2.27697289423267,6.57962980752681,14.3964386992933,35.8376096827885,21.7391929924336,12.1541851730424,12.7640219007801,7.87384059598228,23.8566468553329,78.3878875175713,27.1606081754775,15.1852491162897,15.5015646284643,9.63253478373402,29.8061219588033,97.2860786627689
"20",193,345924,4743793,67.3284595823906,0.135775663303377,14.5966761876375,12.0899943588904,39.3259043989488,133.476810191171,68.1247845684971,0.295830476089612,12.6075169850615,8.81169301292289,33.5115649039477,123.351389946519,101.905647207027,2.00760354140679,17.7259495940217,10.4647672458762,44.0050995181616,176.109067106493
"21",194,346920,4743814,65.0725571711083,5.46539792441971,11.4801050194079,7.4308472630272,25.4144039332132,114.863311311176,72.9911862371707,6.99382643521138,12.8544114764033,7.58594527818857,26.8771870132059,127.30255644018,81.3493608223455,13.756601328819,13.526607603535,8.24997580582852,28.593640732981,145.476186293509
"22",200,345856,4735793,17.5162250903599,0,4.71204052326692,10.6544598497368,17.285936541756,50.1686620051196,42.110593808985,0,6.67816721941313,11.8448372657571,28.5587463655601,89.1923446597153,44.4112668004617,0,5.21622735511809,7.45405403588844,23.1210165364516,80.2025647279199
"23",203,346995,4734838,62.7031543883457,0,7.28109326021381,14.001362163479,38.9816465115614,122.9672563236,55.5363804806571,0,5.79439798443471,9.55308665575032,29.9401881057116,100.824053226554,69.3957005337592,0,6.30637458196626,8.80813628619807,31.8248169875733,116.335028389497
"24",205,345868,4733795,30.046812024335,0,5.36620893329456,11.6609915686231,24.3651297539874,71.4391422802401,49.7130599846498,0.323438753696766,5.90656763641215,10.2108286869826,28.4533774684729,94.6072725302143,62.9570823590913,0,5.68459633270713,8.55044006559786,30.1496234994736,107.34174225687
"25",211,346963,4729817,9.7189082117314,0,2.75231120440203,5.53987436391919,9.19109411495659,27.2021878950092,28.2606980300952,0,5.02558795990225,7.59166640236503,18.3126159012356,59.1905682935981,40.0247710102794,0.209315892479051,5.22299441424576,6.64672842092084,20.3669214700874,72.4707312080124
"26",213,345887,4728809,16.8697796839685,2.13926799356768,4.46872851719615,8.90991854309727,12.0824949125008,44.4701896503304,30.2199684163839,1.80969466069727,4.40937481585935,7.88879619496711,15.756458033762,60.0842921216696,34.006169025938,2.05523870568666,4.52921255847684,6.42117726290031,14.4408444090925,61.4526419620944
"27",215,347873,4728789,18.4468449929995,2.13571059157653,4.27564272164143,8.73308230100492,11.453533735073,45.0448143422953,38.6952651910622,2.94384793860793,6.28556248835574,10.0392643497797,18.3772402640625,76.3411802318681,27.3115976714924,1.19324890578767,3.48514729596496,4.94711848306006,11.6375930419016,48.5747053982067
"28",217,346936,4727784,13.8541148976125,0.708758804176135,1.81138465584018,5.88666634855948,7.52768958414621,29.7886142903345,21.8235421386932,1.45868571899171,3.605161901229,7.77333161539781,12.1085194928888,46.7692408672005,35.812155304648,1.4710909749542,3.96736994763661,8.59399211719835,16.8954073498731,66.7400156943102
"29",219,344871,4726777,13.4221698671905,0,4.65233448912891,12.9734294794478,16.8826856624441,47.9306194982113,22.8452389475805,0,4.16348409709803,8.28987822363909,17.6386241609059,52.9372254292235,28.1282541011397,0,4.04722922359408,6.44103443890123,17.143216512814,55.759734276449
