"ID","Estadillo","CoorX","CoorY","IDComarca","Comarca","Municipio","IDMuni","EspacioProtegido","FiguraProteccion","MUP","tipo_prop","pertenenci","deslindado","amojonado"
"54",309,365914,4725803,3403,"Saldaña-Valdavia","La Puebla de Valdavia",34140,"No","No","Mayor","Ayto.","Ayto. de La Puebla de Valdavia","No","No"
"55",310,369891,4725818,3403,"Saldaña-Valdavia","La Puebla de Valdavia",34140,"No","No","Valdemoro","Ayto.","Ayto. de La Puebla de Valdavia","Sí","Sí"
"56",312,371910,4725776,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"No","No","Mayor","Ayto.","Ayto. de Buenavista de Valdavia","Sí","Sí"
"57",314,379922,4741791,3406,"Cervera","Dehesa de Montejo",34067,"No","No","Valdeur","E.L.M.","E.L.M. de Dehesa de Montejo","No","No"
"58",317,395892,4739813,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","El Castillo y La Serna","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí"
"59",323,392897,4737784,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","Royal","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí"
"60",324,393919,4737785,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","Royal","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí"
"61",328,391892,4735793,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","Royal","Ayto.","Ayto. de Aguilar de Campoo","Sí","Sí"
"62",329,393907,4735792,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","Mesa del Monte","E.L.M.","E.L.M. de Lomilla de Aguilar","No","No"
"63",331,377904,4734780,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"No","No","Moyuelo","E.L.M.","E.L.M. de Vega de Bur","No","No"
"64",338,385903,4733807,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","Valdemensur","Ayto.","Ayto. de Aguilar de Campoo","No","No"
"65",345,399933,4732794,3407,"Aguilar","Aguilar de Campoo",34004,"Las Tuerces","Paisaje Protegido","Castillo de Gama","Ayto.","Ayto. de Aguilar de Campoo","No","No"
"66",352,395886,4729801,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","No","No","No","No","No"
"67",354,397911,4729768,3407,"Aguilar","Aguilar de Campoo",34004,"No","No","No","No","No","No","No"
"68",363,389904,4726785,3404,"Boedo-Ojeda","Prádanos de Ojeda",34139,"No","No","El Carrascal","Ayto.","Ayto. de Prádanos de Ojeda","No","No"
"69",365,391912,4726792,3404,"Boedo-Ojeda","Alar del Rey",34005,"No","No","La Cabrera","E.L.M.","E.L.M. de Nogales de Pisuerga","No","No"
"70",368,376882,4725806,3404,"Boedo-Ojeda","Collazos de Boedo",34061,"No","No","Abajo y Arriba","E.L.M.","E.L.M. de Oteros de Boedo","No","No"
"71",371,409896,4741812,3407,"Aguilar","Pomar de Valdivia",34135,"No","No","Los Corros","E.L.M.","E.L.M. de Lastrilla","No","No"
"72",382,345937,4724840,3405,"Guardo","Fresno del Río",34073,"No","No","El Soto","Ayto.","Ayto. de Fresno del Río","Sí","Sí"
"73",384,345955,4723788,3403,"Saldaña-Valdavia","Pino del Río",34129,"No","No","Páramo del Oeste","E.L.M.","E.L.M. de Pino del Rio","No","No"
"74",386,345918,4722804,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","Modorro","E.L.M.","E.L.M. de Acera de la Vega","No","No"
"75",398,347903,4719775,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","Modorro","E.L.M.","E.L.M. de Acera de la Vega","No","No"
"76",402,344928,4717802,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","No","No","No","No","No"
"77",404,344906,4716775,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","Páramo, Raigada y Sotillo","E.L.M.","E.L.M. de San Andres de la Regla","No","No"
"78",407,344905,4714759,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","Páramo, Raigada y Sotillo","E.L.M.","E.L.M. de San Andres de la Regla","No","No"
"79",411,345899,4710808,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","La Cerra","Ayto.","Ayto. de Villota del Páramo","Sí","Sí"
"80",412,346899,4710829,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"No","No","La Cerra","Ayto.","Ayto. de Villota del Páramo","Sí","Sí"
