"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","CanopySHRNFI2","HmSHRNFI2","CanopySHRNFI3","HmSHRNFI3","CanopySHRNFI4","HmSHRNFI4"
91,42.872304,-4.543886,"A","1","A","1",2102,"Erica australis",NA,NA,90,18,80,16
92,42.858965,-4.837318,"A","1",NA,NA,102,"Erica spp.",70,12,NA,NA,NA,NA
92,42.858965,-4.837318,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",10,4,NA,NA,NA,NA
92,42.858965,-4.837318,"A","1",NA,NA,136,"Chamaespartium tridentatum",NA,NA,5,3,NA,NA
92,42.858965,-4.837318,"A","1",NA,NA,2102,"Erica australis",NA,NA,30,12,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,102,"Erica spp.",15,14,NA,NA,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",85,14,NA,NA,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,1102,"Erica arborea",NA,NA,15,15,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,75,18,NA,NA
95,42.860863,-4.714969,"A","4C","A","1",102,"Erica spp.",60,8,5,4,35,10
95,42.860863,-4.714969,"A","4C","A","1",106,"Calluna vulgaris",15,3,10,5,7,2
95,42.860863,-4.714969,"A","4C","A","1",107,"Arctostaphylos uva-ursi",10,1,5,3,2,1
95,42.860863,-4.714969,"A","4C","A","1",137,"Vaccinium myrtillus",NA,NA,15,3,23,2
95,42.860863,-4.714969,"A","4C","A","1",2102,"Erica australis",NA,NA,25,12,NA,NA
95,42.860863,-4.714969,"A","4C","A","1",4104,"Cytisus spp.",NA,NA,40,12,5,7
96,42.861046,-4.702734,"A","4",NA,NA,102,"Erica spp.",50,6,NA,NA,NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",20,9,NA,NA,NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,106,"Calluna vulgaris",10,2,15,8,NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,137,"Vaccinium myrtillus",NA,NA,5,3,NA,NA
96,42.861046,-4.702734,"A","4",NA,NA,2102,"Erica australis",NA,NA,70,15,NA,NA
103,42.863136,-4.555899,"A","3E","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",5,10,NA,NA,NA,NA
103,42.863136,-4.555899,"A","3E","A","1",119,"Rosa spp.",NA,NA,2,3,2,3
103,42.863136,-4.555899,"A","3E","A","1",137,"Vaccinium myrtillus",NA,NA,NA,NA,1,2
103,42.863136,-4.555899,"A","3E","A","1",2110,"Daphne laureola",NA,NA,5,5,2,4
104,42.863302,-4.543662,"A","4","A","1",119,"Rosa spp.",NA,NA,2,3,2,5
104,42.863302,-4.543662,"A","4","A","1",155,"Genista spp.",NA,NA,NA,NA,2,3
104,42.863302,-4.543662,"A","4","A","1",2110,"Daphne laureola",NA,NA,10,5,5,4
104,42.863302,-4.543662,"A","4","A","1",4104,"Cytisus spp.",NA,NA,2,3,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,102,"Erica spp.",50,12,NA,NA,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",5,5,NA,NA,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,106,"Calluna vulgaris",NA,NA,10,6,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,117,"Halimium spp.",40,5,10,4,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,119,"Rosa spp.",5,6,NA,NA,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,136,"Chamaespartium tridentatum",NA,NA,10,5,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,137,"Vaccinium myrtillus",NA,NA,8,3,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,2102,"Erica australis",NA,NA,60,15,NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",10,20,NA,NA,NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",15,13,NA,NA,NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,119,"Rosa spp.",50,30,50,10,NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,20,12,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,102,"Erica spp.",50,15,NA,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",50,15,NA,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,1102,"Erica arborea",NA,NA,10,15,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,2102,"Erica australis",NA,NA,75,15,NA,NA
108,42.852406,-4.678019,"A","1","A","1",102,"Erica spp.",15,9,10,4,NA,NA
108,42.852406,-4.678019,"A","1","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",10,8,NA,NA,NA,NA
108,42.852406,-4.678019,"A","1","A","1",106,"Calluna vulgaris",20,3,20,6,NA,NA
108,42.852406,-4.678019,"A","1","A","1",107,"Arctostaphylos uva-ursi",30,2,60,2,20,2
108,42.852406,-4.678019,"A","1","A","1",117,"Halimium spp.",10,3,2,4,NA,NA
108,42.852406,-4.678019,"A","1","A","1",119,"Rosa spp.",NA,NA,2,8,5,3
108,42.852406,-4.678019,"A","1","A","1",136,"Chamaespartium tridentatum",NA,NA,2,5,NA,NA
108,42.852406,-4.678019,"A","1","A","1",2102,"Erica australis",NA,NA,3,10,7,10
108,42.852406,-4.678019,"A","1","A","1",3102,"Erica ciliaris",NA,NA,NA,NA,45,3
108,42.852406,-4.678019,"A","1","A","1",4104,"Cytisus spp.",NA,NA,2,5,3,4
108,42.852406,-4.678019,"A","1","A","1",5102,"Erica umbellata",NA,NA,NA,NA,15,3
112,42.834223,-4.689762,"A","1",NA,NA,102,"Erica spp.",15,10,15,3,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",50,20,NA,NA,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,106,"Calluna vulgaris",10,3,5,5,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,119,"Rosa spp.",15,20,5,10,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,1102,"Erica arborea",NA,NA,25,8,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,4104,"Cytisus spp.",NA,NA,10,12,NA,NA
128,42.94497,-4.496672,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",20,15,NA,NA,NA,NA
128,42.94497,-4.496672,"A","4","A","1",119,"Rosa spp.",NA,NA,NA,NA,1,4
128,42.94497,-4.496672,"A","4","A","1",121,"Rubus spp.",NA,NA,3,2,4,3
128,42.94497,-4.496672,"A","4","A","1",144,"Lonicera spp.",NA,NA,2,2,2,2
128,42.94497,-4.496672,"A","4","A","1",1167,"Cytisus scoparius",NA,NA,NA,NA,2,4
128,42.94497,-4.496672,"A","4","A","1",2110,"Daphne laureola",NA,NA,10,3,1,3
128,42.94497,-4.496672,"A","4","A","1",4103,"Retama spp.",NA,NA,2,3,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,102,"Erica spp.",60,12,NA,NA,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,104,"Other papilionoid shrubs (Ht<1.5m)",30,2,NA,NA,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,106,"Calluna vulgaris",NA,NA,3,3,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,137,"Vaccinium myrtillus",NA,NA,25,2,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,1102,"Erica arborea",NA,NA,65,20,NA,NA
129,42.94513,-4.484419,"A","1",NA,NA,3155,"Genista scorpius",NA,NA,8,3,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,102,"Erica spp.",10,10,6,3,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,103,"Other papilionoid shrubs (Ht>1.5m)",20,15,NA,NA,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,106,"Calluna vulgaris",NA,NA,2,3,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,119,"Rosa spp.",NA,NA,2,3,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,137,"Vaccinium myrtillus",NA,NA,8,2,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,1102,"Erica arborea",NA,NA,8,20,NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,4103,"Retama spp.",NA,NA,15,20,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,102,"Erica spp.",5,5,NA,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,119,"Rosa spp.",1,5,2,5,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,137,"Vaccinium myrtillus",NA,NA,5,2,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,1102,"Erica arborea",NA,NA,5,70,NA,NA
146,42.918901,-4.422528,"A","4","A","1",103,"Other papilionoid shrubs (Ht>1.5m)",50,15,NA,NA,NA,NA
146,42.918901,-4.422528,"A","4","A","1",119,"Rosa spp.",10,15,10,3,15,3
146,42.918901,-4.422528,"A","4","A","1",4103,"Retama spp.",NA,NA,3,29,10,25
