"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","YearNFI2","YearNFI3","YearNFI4","CanopyNFI2","CanopyNFI3","CanopyNFI4","NtreesNFI2","NtreesNFI3","NtreesNFI4","DeadTreesNFI2","DeadTreesNFI3","DeadTreesNFI4","HoNFI2","HoNFI3","HoNFI4","HartNFI2","HartNFI3","HartNFI4","ShannonNFI2","ShannonNFI3","ShannonNFI4","SDIR_NFI2","SDIR_NFI3","SDIR_NFI4","especie_dominanteIFN2","CompositionNFI2","especie_dominanteIFN3","CompositionNFI3","especie_dominanteIFN4","CompositionNFI4","nCD.x","StructureNFI2","nCD.y","StructureNFI3","nCD","StructureNFI4","DmNFI2","HmNFI2","SlendernessNFI2","DgNFI2","DmNFI3","HmNFI3","SlendernessNFI3","DgNFI3","DmNFI4","HmNFI4","SlendernessNFI4","DgNFI4"
81,42.869864,-4.715219,NA,NA,NA,NA,91,"04/21/03 00:00:00",NA,75,80,NA,34,73,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.774539664530468,NA,NA,21,"pure",NA,NA,NA,NA,2,"Even-aged",1,"Even-aged",1,"Even-aged",0.108882352941176,6.01470588235294,55.2404105888709,0.110537190973153,0.161582191780822,9.77397260273973,60.4891695985757,0.164966860515963,NA,NA,NA,NA
82,42.870047,-4.702981,"A","4","A","1",91,"04/21/03 00:00:00","2019-09-02T22:00:00Z",65,80,90,24,45,65,0,0,0,6.31830988618379,10.5097025763171,15.9059785601118,44.8136603619369,26.3886278589032,17.6386128619765,0,0,0,0.400870803990496,0.806211718149175,1.09094377357196,21,"pure",21,"pure",21,"pure",2,"Even-aged",5,"Uneven-aged",5,"Uneven-aged",0.129083333333333,5.41666666666667,41.9625564880568,0.130555543735224,0.192333333333333,9.63333333333333,50.0866551126516,0.196624373983605,0.236984615384615,15.0184615942148,63.3731500664738,0.240840675072195
89,42.871971,-4.568364,"A","4","A","1",91,"2006-04-03 00:00","2019-09-04T22:00:00Z",90,85,95,16,25,44,0,0,1,8.63661977236758,10.3713615338811,13.0787794390644,29.4638937079182,28.1711997740148,20.5138380213801,0,0,0,1.05621493142707,1.15024077846126,1.76162673196604,43,"pure",43,"pure",43,"pure",2,"Even-aged",4,"Uneven-aged",5,"Uneven-aged",0.10940625,6.875,62.8391888031991,0.111825687455969,0.13706,8.22,59.9737341310375,0.140085295445311,0.159522727272727,10.1659091060812,63.7270267370811,0.164284191127891
91,42.872304,-4.543886,"A","1","A","1",91,"03/25/03 00:00:00","2019-08-05T22:00:00Z",30,30,55,1,3,5,NA,0,0,NA,6.5,10.5394497005218,NA,244.484585457475,125.073127581484,0,0,0,NA,0.107847762842936,0.298744193441501,NA,NA,42,"pure",42,"pure",1,"Even-aged",2,"Even-aged",3,"Uneven-aged",NA,NA,NA,NA,0.2885,6.5,22.5303292894281,0.289138231070654,0.3856,10.8800001144409,28.2157679316414,0.432152172272685
92,42.858965,-4.837318,"A","1",NA,NA,91,"2004-02-03 00:00",NA,70,70,NA,38,51,NA,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.69865271494058,0.822133984569208,NA,21,"pure",21,"pure",NA,NA,4,"Uneven-aged",5,"Uneven-aged",1,"Even-aged",0.170921052631579,9.21052631578947,53.8876058506543,0.174642831003888,0.212539215686275,12.1960784313725,57.382720605194,0.217384328042367,NA,NA,NA,NA
93,42.860494,-4.73944,"A","1",NA,NA,91,"03/18/03 00:00:00",NA,50,60,NA,4,18,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0920023117876189,0.368015227026697,NA,21,"pure",21,"pure",NA,NA,3,"Uneven-aged",4,"Uneven-aged",1,"Even-aged",0.121875,5,41.025641025641,0.127602654752948,0.161638888888889,5.97222222222222,36.9479291974566,0.167332129809749,NA,NA,NA,NA
95,42.860863,-4.714969,"A","4C","A","1",91,"05/29/03 00:00:00","2019-08-26T22:00:00Z",60,70,80,1,3,35,NA,0,0,NA,4.5,7.74957765739754,NA,117.714754178964,29.3696802336084,0,0,0,NA,NA,0,NA,NA,21,"pure",22,"pure",1,"Even-aged",1,"Even-aged",3,"Uneven-aged",NA,NA,NA,NA,0.0841666666666667,4.16666666666667,49.5049504950495,0.0842738591339766,0.131271428571429,6.10857146126883,46.5338994764195,0.133776279127291
96,42.861046,-4.702734,"A","4",NA,NA,91,"05/29/03 00:00:00",NA,60,75,NA,1,12,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.0215791708311541,0.350535900994845,NA,21,"pure",21,"pure",NA,NA,1,"Even-aged",2,"Even-aged",1,"Even-aged",0.0915,4,43.7158469945355,0.0915,0.105041666666667,4.375,41.6501388337961,0.107111799069944,NA,NA,NA,NA
100,42.86246,-4.604846,"A","4","A","4",91,"2006-12-03 00:00","2019-09-18T22:00:00Z",90,95,95,48,34,56,0,0,0,12.3181094882641,16.0383975842618,17.3892494474262,20.3584469391683,22.3693845405129,14.245038541122,0.0365409151497374,0,0,1.1716029291212,0.760224691274087,1.76032167577715,71,"mixed",71,"pure",71,"pure",5,"Uneven-aged",7,"Uneven-aged",8,"Uneven-aged",0.2050625,10.9166666666667,53.2358020928579,0.240270398891194,0.230220588235294,12.7941176470588,55.5732992654104,0.239242262767509,0.226991071428571,14.2946429337774,62.9744722724725,0.254432430336903
102,42.86262983,-4.56755122,"A","1","A","1",91,"2006-04-03 00:00","2019-07-09T22:00:00Z",90,95,95,30,34,33,0,4,0,13.8912676813146,16.5723684210526,19.4467287651103,28.8024236459841,25.1592123540665,21.4824465699445,0,0,0.0480015180928202,0.850909400748236,0.827309267804003,0.957723295552124,71,"pure",71,"pure",71,"pure",9,"Uneven-aged",10,"Uneven-aged",10,"Uneven-aged",0.276466666666667,12.85,46.4793826862792,0.293996003374196,0.287397058823529,13.25,46.1034641559638,0.304122955494687,0.315454545454545,17.2939392436634,54.8222857868293,0.333990632240251
