"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
104,42.863302,-4.543662,"A","4","A","1","71","Fagus sylvatica",18,29,36,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,70,70,3,">15 stems",2,"5–15 stems",3,">15 stems"
105,42.849767,-4.849284,"A","1",NA,NA,"21","Pinus sylvestris",NA,12,NA,15,NA,"1","Young growth",3,"Polewood",NA,NA,2,"Artificial","C",NA,NA,NA,NA,NA,50,90,NA,2,"5–15 stems",NA,NA,NA,NA
105,42.849767,-4.849284,"A","1",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",1,"1–4 stems",NA,NA
106,42.849964,-4.837051,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,42.851306,-4.751421,"A","1",NA,NA,"21","Pinus sylvestris",16,51,NA,25,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","B",NA,NA,NA,NA,NA,50,100,NA,0,NA,NA,NA,NA,NA
108,42.852406,-4.678019,"A","1","A","1","25","Pinus nigra",6,27,43,25,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",80,90,90,0,NA,NA,NA,NA,NA
112,42.834223,-4.689762,"A","1",NA,NA,"43","Quercus pyrenaica",4,10,NA,0,NA,"3","Polewood",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,90,90,NA,2,"5–15 stems",3,">15 stems",NA,NA
128,42.94497,-4.496672,"A","4","A","1","42","Quercus petraea",33,37,20,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,60,40,3,">15 stems",1,"1–4 stems",3,">15 stems"
128,42.94497,-4.496672,"A","4","A","1","43","Quercus pyrenaica",NA,NA,20,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,40,NA,NA,NA,NA,1,"1–4 stems"
129,42.94513,-4.484419,"A","1",NA,NA,"43","Quercus pyrenaica",34,38,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,"42","Quercus petraea",31,34,NA,0,NA,"4","Old growth",4,"Old growth",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,90,60,NA,3,">15 stems",3,">15 stems",NA,NA
144,42.918438,-4.459274,"A","1",NA,NA,"71","Fagus sylvatica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,1,"1–4 stems",NA,NA,NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,"43","Quercus pyrenaica",35,35,NA,0,NA,NA,NA,4,"Old growth",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,80,NA,3,">15 stems",3,">15 stems",NA,NA
145,42.918594,-4.447025,"A","1",NA,NA,"71","Fagus sylvatica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,1,"1–4 stems",NA,NA,NA,NA
146,42.918901,-4.422528,"A","4","A","1","215","Crataegus monogyna",NA,NA,1,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,1,"1–4 stems",1,"1–4 stems"
146,42.918901,-4.422528,"A","4","A","1","43","Quercus pyrenaica",3,2,3,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,60,60,3,">15 stems",3,">15 stems",3,">15 stems"
147,42.919053,-4.410279,"A","4","A","1","42","Quercus petraea",30,23,25,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,80,80,3,">15 stems",2,"5–15 stems",2,"5–15 stems"
147,42.919053,-4.410279,"A","4","A","1","71","Fagus sylvatica",NA,1,1,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,NA,NA,1,"1–4 stems",2,"5–15 stems"
152,42.908962,-4.4958,"A","1",NA,NA,"43","Quercus pyrenaica",15,20,NA,0,NA,"3","Polewood",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,60,70,NA,3,">15 stems",NA,NA,NA,NA
157,42.911631,-4.275352,"A","4","A","4","43","Quercus pyrenaica",16,18,59,0,0,NA,NA,2,"Thicket",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,90,3,">15 stems",3,">15 stems",3,">15 stems"
159,42.899799,-4.507827,"A","1",NA,NA,"43","Quercus pyrenaica",15,23,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
163,42.890797,-4.507608,"A","4C",NA,NA,"43","Quercus pyrenaica",NA,8,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,"215","Crataegus monogyna",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,NA,NA,1,"1–4 stems",NA,NA
166,42.893625,-4.27498,"A","1",NA,NA,"43","Quercus pyrenaica",NA,1,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,90,NA,3,">15 stems",3,">15 stems",NA,NA
