"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
207,42.731961,-4.894639,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,42.732163,-4.88243,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,42.723162,-4.882158,"A","1",NA,NA,"21","Pinus sylvestris",8,13,NA,35,NA,"1","Young growth",4,"Old growth",NA,NA,2,"Artificial","I",NA,NA,NA,NA,NA,40,50,NA,1,"1–4 stems",1,"1–4 stems",NA,NA
209,42.723162,-4.882158,"A","1",NA,NA,"21","Pinus sylvestris",8,13,NA,35,NA,"3","Polewood",4,"Old growth",NA,NA,2,"Artificial","I",NA,NA,NA,NA,NA,50,50,NA,1,"1–4 stems",1,"1–4 stems",NA,NA
210,42.714161,-4.881886,"A","1",NA,NA,"21","Pinus sylvestris",20,16,NA,35,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,40,40,NA,1,"1–4 stems",NA,NA,NA,NA
214,42.69636,-4.86914,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,42.68716,-4.88107,"A","1",NA,NA,"21","Pinus sylvestris",30,45,NA,35,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,40,100,NA,0,NA,NA,NA,NA,NA
218,42.687558,-4.856669,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,42.668957,-4.892724,"A","1",NA,NA,"21","Pinus sylvestris",58,31,NA,35,NA,"2","Thicket",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,40,90,NA,0,NA,NA,NA,NA,NA
220,42.668957,-4.892724,"A","1",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,1,"1–4 stems",2,"5–15 stems",NA,NA
223,42.79596,-4.835453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,42.796734,-4.786564,"A","1",NA,NA,"43","Quercus pyrenaica",1,2,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,90,NA,3,">15 stems",3,">15 stems",NA,NA
231,42.772443,-4.602519,"A","4",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,3,">15 stems",3,">15 stems",NA,NA
233,42.77362686,-4.54141932,NA,NA,"A","1","21","Pinus sylvestris",NA,NA,17,15,25,NA,NA,2,"Thicket",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,60,90,1,"1–4 stems",NA,NA,NA,NA
233,42.77362686,-4.54141932,NA,NA,"A","1","25","Pinus nigra",NA,NA,1,15,NA,"3","Polewood",2,"Thicket",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,60,20,NA,2,"5–15 stems",1,"1–4 stems",NA,NA
233,42.77362686,-4.54141932,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,NA,0,NA,"2","Thicket",2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,70,20,NA,3,">15 stems",NA,NA,NA,NA
235,42.761666,-4.724451,"A","1",NA,NA,"43","Quercus pyrenaica",4,7,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
238,42.763948,-4.565635,"A","4",NA,NA,"25","Pinus nigra",NA,NA,NA,NA,NA,"2","Thicket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,2,"5–15 stems",NA,NA,NA,NA
238,42.763948,-4.565635,"A","4",NA,NA,"25","Pinus nigra",NA,NA,NA,NA,NA,"3","Polewood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,2,"5–15 stems",NA,NA,NA,NA
239,42.764114,-4.553418,"A","4C","A","4","25","Pinus nigra",NA,1,28,15,35,"3","Polewood",3,"Polewood",3,"Polewood",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,40,60,2,"5–15 stems",NA,NA,NA,NA
239,42.764114,-4.553418,"A","4C","A","4","43","Quercus pyrenaica",NA,1,17,0,35,"2","Thicket",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,60,40,3,">15 stems",3,">15 stems",3,">15 stems"
240,42.76428,-4.5412,"A","4C",NA,NA,"25","Pinus nigra",NA,NA,NA,15,NA,"3","Polewood",2,"Thicket",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,60,10,NA,2,"5–15 stems",NA,NA,NA,NA
240,42.76428,-4.5412,"A","4C",NA,NA,"43","Quercus pyrenaica",NA,1,NA,0,NA,"2","Thicket",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,60,30,NA,3,">15 stems",1,"1–4 stems",NA,NA
243,42.754268,-4.61427,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,42.754439,-4.602055,"A","3E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,42.754778,-4.577624,"A","4","A","1","26","Pinus pinaster",47,35,28,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",90,90,90,1,"1–4 stems",NA,NA,NA,NA
247,42.754946,-4.565409,"A","4C","A","1","21","Pinus sylvestris",NA,4,18,15,40,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,30,50,2,"5–15 stems",NA,NA,NA,NA
247,42.754946,-4.565409,"A","4C","A","1","43","Quercus pyrenaica",NA,5,9,0,40,"2","Thicket",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,50,20,3,">15 stems",2,"5–15 stems",3,">15 stems"
248,42.755112,-4.553193,"A","4C","A","4","21","Pinus sylvestris",NA,3,38,15,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,60,70,2,"5–15 stems",NA,NA,NA,NA
248,42.755112,-4.553193,"A","4C","A","4","43","Quercus pyrenaica",NA,NA,2,0,20,"2","Thicket",3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",60,40,30,3,">15 stems",2,"5–15 stems",NA,NA
249,42.755277,-4.540977,"A","4C","A","4","21","Pinus sylvestris",NA,8,41,20,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",NA,60,70,1,"1–4 stems",NA,NA,NA,NA
249,42.755277,-4.540977,"A","4C","A","4","25","Pinus nigra",NA,NA,NA,NA,NA,"3","Polewood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,2,"5–15 stems",NA,NA,NA,NA
249,42.755277,-4.540977,"A","4C","A","4","25","Pinus nigra",NA,NA,NA,NA,NA,"2","Thicket",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,2,"5–15 stems",NA,NA,NA,NA
249,42.755277,-4.540977,"A","4C","A","4","43","Quercus pyrenaica",NA,2,1,0,25,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,30,3,">15 stems",2,"5–15 stems",3,">15 stems"
251,42.742728,-4.785012,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,42.744209,-4.687314,"A","1",NA,NA,"43","Quercus pyrenaica",5,10,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
254,42.745437,-4.601823,"A","4","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,42.745944,-4.565182,"A","4C",NA,NA,"21","Pinus sylvestris",NA,NA,NA,NA,NA,"1","Young growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,2,"5–15 stems",NA,NA,NA,NA
256,42.745944,-4.565182,"A","4C",NA,NA,"43","Quercus pyrenaica",NA,1,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,40,NA,2,"5–15 stems",3,">15 stems",NA,NA
258,42.733536,-4.796964,"A","4","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,42.736774,-4.577167,"A","4C","A","1","26","Pinus pinaster",NA,4,8,20,0,NA,NA,3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",5,"Mixed: seed and plantation",NA,20,20,2,"5–15 stems",NA,NA,NA,NA
261,42.736774,-4.577167,"A","4C","A","1","43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,NA,NA,2,"5–15 stems",3,">15 stems"
262,42.736942,-4.564956,"A","4C","A","1","21","Pinus sylvestris",NA,8,31,20,0,"1","Young growth",2,"Thicket",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",50,60,70,2,"5–15 stems",NA,NA,NA,NA
262,42.736942,-4.564956,"A","4C","A","1","43","Quercus pyrenaica",NA,NA,NA,0,30,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,10,3,">15 stems",NA,NA,1,"1–4 stems"
263,42.72484493,-4.78452548,NA,NA,"A","1","21","Pinus sylvestris",NA,NA,31,15,0,NA,NA,2,"Thicket",3,"Polewood",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",NA,100,100,2,"5–15 stems",2,"5–15 stems",NA,NA
264,42.724915,-4.772288,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,42.727772,-4.576939,"A","1",NA,NA,"21","Pinus sylvestris",27,27,NA,0,NA,"3","Polewood",4,"Old growth",NA,NA,3,"Naturalized","5","Mixed: seed and plantation",NA,NA,NA,NA,70,70,NA,1,"1–4 stems",NA,NA,NA,NA
265,42.727772,-4.576939,"A","1",NA,NA,"25","Pinus nigra",2,5,NA,0,NA,NA,NA,3,"Polewood",NA,NA,3,"Naturalized","5","Mixed: seed and plantation",NA,NA,NA,NA,NA,20,NA,1,"1–4 stems",NA,NA,NA,NA
265,42.727772,-4.576939,"A","1",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",3,">15 stems",NA,NA
268,42.716103,-4.759825,"A","1",NA,NA,"25","Pinus nigra",5,17,NA,30,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","B",NA,NA,NA,NA,NA,80,70,NA,1,"1–4 stems",NA,NA,NA,NA
269,42.71877,-4.576711,"A","4",NA,NA,"21","Pinus sylvestris",NA,22,NA,20,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,NA,70,NA,1,"1–4 stems",NA,NA,NA,NA
269,42.71877,-4.576711,"A","4",NA,NA,"25","Pinus nigra",NA,1,NA,20,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,50,30,NA,1,"1–4 stems",NA,NA,NA,NA
270,42.718938,-4.564503,"A","1",NA,NA,"25","Pinus nigra",6,43,NA,25,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,90,90,NA,0,NA,NA,NA,NA,NA
270,42.718938,-4.564503,"A","1",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",1,"1–4 stems",NA,NA
271,42.705953,-4.832798,"A","3E","A","1","215","Crataegus monogyna",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,NA,NA,1,"1–4 stems",NA,NA
271,42.705953,-4.832798,"A","3E","A","1","43","Quercus pyrenaica",1,20,27,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,90,90,3,">15 stems",3,">15 stems",2,"5–15 stems"
272,42.706913,-4.771775,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,42.707288,-4.747365,"A","3E","A","1","21","Pinus sylvestris",6,30,17,0,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",90,70,70,1,"1–4 stems",NA,NA,NA,NA
274,42.707288,-4.747365,"A","3E","A","1","25","Pinus nigra",NA,2,1,0,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",NA,20,20,1,"1–4 stems",NA,NA,NA,NA
276,42.709258,-4.613103,"A","4C",NA,NA,"43","Quercus pyrenaica",NA,1,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
279,42.6981,-4.759316,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,42.689286,-4.74686,"A","1",NA,NA,"21","Pinus sylvestris",16,24,NA,30,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,60,60,NA,1,"1–4 stems",NA,NA,NA,NA
284,42.689286,-4.74686,"A","1",NA,NA,"25","Pinus nigra",5,9,NA,30,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,NA,40,NA,1,"1–4 stems",NA,NA,NA,NA
285,42.689471,-4.734659,"A","1",NA,NA,"21","Pinus sylvestris",24,24,NA,40,NA,"3","Polewood",4,"Old growth",NA,NA,2,"Artificial","D",NA,NA,NA,NA,NA,80,70,NA,1,"1–4 stems",NA,NA,NA,NA
285,42.689471,-4.734659,"A","1",NA,NA,"26","Pinus pinaster",14,6,NA,40,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","D",NA,NA,NA,NA,NA,30,10,NA,1,"1–4 stems",NA,NA,NA,NA
286,42.689655,-4.722457,"A","4","A","1","21","Pinus sylvestris",14,15,21,35,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",50,50,50,1,"1–4 stems",NA,NA,NA,NA
286,42.689655,-4.722457,"A","4","A","1","25","Pinus nigra",14,20,18,35,0,NA,NA,4,"Old growth",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",NA,40,40,0,NA,NA,NA,NA,NA
286,42.689655,-4.722457,"A","4","A","1","26","Pinus pinaster",8,4,1,35,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",30,10,10,1,"1–4 stems",NA,NA,NA,NA
288,42.690557,-4.661447,"A","1",NA,NA,"43","Quercus pyrenaica",3,4,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
289,42.690908,-4.637042,"A","1",NA,NA,"43","Quercus pyrenaica",1,1,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
291,42.69218251,-4.53947652,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,5,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
292,42.680098,-4.758808,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,42.68047,-4.734408,"A","1",NA,NA,"25","Pinus nigra",12,13,NA,35,NA,"3","Polewood",4,"Old growth",NA,NA,2,"Artificial","I",NA,NA,NA,NA,NA,60,60,NA,1,"1–4 stems",NA,NA,NA,NA
296,42.680837,-4.710008,"A","1",NA,NA,"25","Pinus nigra",17,28,NA,35,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,60,70,NA,0,NA,NA,NA,NA,NA
296,42.680837,-4.710008,"A","1",NA,NA,"26","Pinus pinaster",18,9,NA,35,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,30,30,NA,0,NA,NA,NA,NA,NA
299,42.670529,-4.795147,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,42.670719,-4.78295,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,42.671283,-4.746356,"A","3E",NA,NA,"21","Pinus sylvestris",16,21,NA,35,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","B",NA,NA,NA,NA,NA,70,50,NA,1,"1–4 stems",NA,NA,NA,NA
304,42.671652,-4.72196,"A","1",NA,NA,"21","Pinus sylvestris",9,25,NA,25,NA,NA,NA,3,"Polewood",NA,NA,2,"Artificial","C",NA,NA,NA,NA,NA,NA,40,NA,0,NA,NA,NA,NA,NA
304,42.671652,-4.72196,"A","1",NA,NA,"25","Pinus nigra",2,18,NA,25,NA,"3","Polewood",3,"Polewood",NA,NA,2,"Artificial","C",NA,NA,NA,NA,NA,60,50,NA,1,"1–4 stems",NA,NA,NA,NA
304,42.671652,-4.72196,"A","1",NA,NA,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","3","Coppice (stump or root sprout)",NA,NA,NA,NA,NA,10,NA,2,"5–15 stems",3,">15 stems",NA,NA
305,42.67186295,-4.70984871,NA,NA,"A","1","43","Quercus pyrenaica",NA,NA,2,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
306,42.672197,-4.685364,"A","3E","A","1","25","Pinus nigra",3,19,8,0,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",90,20,20,1,"1–4 stems",NA,NA,NA,NA
306,42.672197,-4.685364,"A","3E","A","1","37","Juniperus communis",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","1","Seed",1,"Natural",1,"Seed",NA,10,10,NA,NA,1,"1–4 stems",2,"5–15 stems"
306,42.672197,-4.685364,"A","3E","A","1","43","Quercus pyrenaica",NA,13,19,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,70,70,NA,NA,2,"5–15 stems",2,"5–15 stems"
311,42.67376,-4.575573,"A","4",NA,NA,"43","Quercus pyrenaica",NA,1,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",3,">15 stems",NA,NA
313,42.818619,-4.518085,"A","4C","A","1","43","Quercus pyrenaica",NA,8,29,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,100,100,3,">15 stems",3,">15 stems",3,">15 stems"
319,42.794038,-4.321844,"A","1",NA,NA,"21","Pinus sylvestris",6,33,NA,25,NA,"1","Young growth",3,"Polewood",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,70,100,NA,1,"1–4 stems",NA,NA,NA,NA
320,42.794317,-4.297395,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,42.78261,-4.517205,"A","1",NA,NA,"43","Quercus pyrenaica",25,32,NA,0,NA,"3","Polewood",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,90,90,NA,3,">15 stems",2,"5–15 stems",NA,NA
325,42.764606,-4.516765,"A","4C","A","1","42","Quercus petraea",NA,5,23,0,40,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,80,100,1,"1–4 stems",2,"5–15 stems",2,"5–15 stems"
326,42.764927,-4.49233,"A","3E",NA,NA,"25","Pinus nigra",NA,3,NA,NA,NA,"1","Young growth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,2,"5–15 stems",NA,NA,NA,NA
326,42.764927,-4.49233,"A","3E",NA,NA,"37","Juniperus communis",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","1","Seed",NA,NA,NA,NA,NA,10,NA,NA,NA,3,">15 stems",NA,NA
326,42.764927,-4.49233,"A","3E",NA,NA,"43","Quercus pyrenaica",1,9,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,90,NA,3,">15 stems",3,">15 stems",NA,NA
327,42.765243,-4.467894,"A","1","A","1","37","Juniperus communis",NA,NA,NA,NA,20,NA,NA,NA,NA,2,"Thicket",NA,NA,NA,NA,1,"Natural",1,"Seed",NA,NA,20,2,"5–15 stems",3,">15 stems",2,"5–15 stems"
327,42.765243,-4.467894,"A","1","A","1","45","Quercus ilex",2,24,44,0,40,"2","Thicket",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",90,80,80,3,">15 stems",3,">15 stems",2,"5–15 stems"
330,42.755765,-4.50433,"A","1",NA,NA,"21","Pinus sylvestris",NA,NA,NA,NA,NA,"3","Polewood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,1,"1–4 stems",NA,NA
330,42.755765,-4.50433,"A","1",NA,NA,"25","Pinus nigra",NA,16,NA,20,NA,"1","Young growth",3,"Polewood",NA,NA,2,"Artificial","A",NA,NA,NA,NA,NA,90,90,NA,3,">15 stems",NA,NA,NA,NA
332,42.756083,-4.479897,"A","1",NA,NA,"43","Quercus pyrenaica",NA,3,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",3,">15 stems",NA,NA
333,42.757305,-4.382164,"A","4C","A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,42.746601,-4.516326,"A","1",NA,NA,"43","Quercus pyrenaica",1,1,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,100,NA,3,">15 stems",2,"5–15 stems",NA,NA
336,42.746922,-4.491898,"A","4",NA,NA,"21","Pinus sylvestris",5,21,NA,40,NA,"3","Polewood",4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,40,50,NA,1,"1–4 stems",NA,NA,NA,NA
336,42.746922,-4.491898,"A","4",NA,NA,"21","Pinus sylvestris",5,21,NA,40,NA,"2","Thicket",4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,70,50,NA,1,"1–4 stems",NA,NA,NA,NA
336,42.746922,-4.491898,"A","4",NA,NA,"25","Pinus nigra",6,9,NA,40,NA,NA,NA,4,"Old growth",NA,NA,2,"Artificial","J",NA,NA,NA,NA,NA,NA,40,NA,0,NA,NA,NA,NA,NA
336,42.746922,-4.491898,"A","4",NA,NA,"43","Quercus pyrenaica",5,NA,NA,0,NA,NA,NA,3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,10,NA,3,">15 stems",NA,NA,NA,NA
339,42.748302,-4.381964,"A","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
